1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
chr1:162738423_-	0.28	0.28	0.28	0.28	0.3	0.3	0.28	0.28	0.28	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.32	0.32	0.3	0.3	0.3	0.3	0.3	0.32	0.3	0.28	0.28	0.28	0.28	0.3	0.3	0.28	0.28	0.26	0.26	0.24	0.22	0.24	0.22	0.24	0.24	0.24	0.24	0.22	0.22	0.22	0.22	0.22	0.22	0.2
chr1:167313415_+	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.22	0.22	0.2	0.22	0.22	0.22	0.22	0.22	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.18	0.16	0.16	0.16	0.16	0.18	0.18	0.18	0.16	0.14	0.16	0.16	0.18	0.18	0.2	0.22	0.22	0.22	0.2	0.2
chr1:171453810_+	0.24	0.24	0.24	0.22	0.2	0.2	0.22	0.2	0.22	0.2	0.2	0.22	0.24	0.24	0.24	0.26	0.26	0.28	0.3	0.28	0.28	0.28	0.28	0.3	0.3	0.28	0.3	0.3	0.3	0.3	0.3	0.3	0.32	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.28	0.26	0.24	0.24	0.26	0.28	0.28	0.26	0.26
chr1:174551442_+	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.08	0.08	0.06	0.06	0.08	0.08	0.1	0.1	0.1	0.12	0.12	0.14	0.16	0.16	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.22	0.24	0.24	0.24	0.22	0.22	0.2	0.2	0.2	0.2	0.22	0.22	0.22
chr1:174558919_+	0.44	0.44	0.44	0.44	0.42	0.42	0.4	0.4	0.4	0.4	0.38	0.38	0.36	0.38	0.38	0.38	0.36	0.36	0.34	0.36	0.36	0.36	0.34	0.34	0.32	0.34	0.32	0.32	0.3	0.32	0.3	0.3	0.28	0.3	0.28	0.28	0.26	0.26	0.24	0.26	0.26	0.26	0.24	0.24	0.24	0.24	0.22	0.22	0.22	0.22	0.2
chr1:179164015_-	0.24	0.24	0.26	0.24	0.26	0.24	0.24	0.26	0.24	0.24	0.26	0.24	0.24	0.26	0.24	0.24	0.24	0.24	0.24	0.26	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.26	0.24	0.26	0.24	0.24	0.26	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24
chr1:181834211_-	0.14	0.14	0.16	0.16	0.16	0.14	0.14	0.16	0.18	0.2	0.2	0.18	0.2	0.2	0.2	0.22	0.24	0.24	0.26	0.26	0.28	0.28	0.28	0.28	0.26	0.26	0.28	0.26	0.28	0.28	0.3	0.3	0.3	0.32	0.32	0.32	0.32	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.36	0.36	0.34	0.36	0.36	0.36
chr1:181983255_-	0.26	0.26	0.26	0.24	0.24	0.24	0.24	0.26	0.26	0.26	0.26	0.26	0.24	0.24	0.24	0.24	0.22	0.22	0.22	0.22	0.22	0.2	0.2	0.2	0.2	0.18	0.18	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.14	0.14	0.14	0.14	0.12	0.12	0.1	0.1	0.12	0.12	0.1	0.1	0.1	0.1	0.12	0.12	0.14
chr1:181987438_-	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.12	0.12	0.12	0.14	0.14	0.14	0.14	0.16	0.16	0.16	0.16	0.14	0.14	0.12	0.12	0.12	0.12	0.12	0.14	0.14	0.14	0.12	0.12	0.12	0.14	0.14	0.14	0.14	0.14	0.14	0.16	0.16	0.16	0.16	0.18	0.18	0.2	0.2	0.2	0.2
chr1:183321729_+	0.3	0.3	0.3	0.3	0.28	0.28	0.28	0.26	0.26	0.28	0.26	0.26	0.28	0.28	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.24	0.22	0.2	0.22	0.22	0.22	0.22	0.24	0.24	0.26	0.26	0.24	0.24	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.24	0.24	0.24	0.24	0.26	0.26	0.28
chr1:189845447_+	0.26	0.28	0.28	0.26	0.26	0.26	0.26	0.28	0.26	0.26	0.26	0.26	0.24	0.22	0.22	0.24	0.26	0.26	0.24	0.22	0.24	0.24	0.24	0.22	0.22	0.22	0.24	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.24	0.24	0.24	0.24	0.24	0.24	0.26	0.26	0.26	0.26	0.24	0.26	0.26	0.28	0.3	0.3	0.28
chr1:191022996_-	0.28	0.28	0.28	0.3	0.28	0.28	0.28	0.28	0.28	0.3	0.28	0.26	0.26	0.28	0.28	0.26	0.26	0.26	0.26	0.26	0.28	0.28	0.28	0.26	0.26	0.24	0.24	0.24	0.24	0.22	0.2	0.2	0.2	0.2	0.2	0.2	0.22	0.2	0.18	0.16	0.16	0.16	0.18	0.18	0.16	0.18	0.16	0.16	0.16	0.16	0.16
chr1:3589042_-	0.18	0.18	0.18	0.16	0.16	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.14	0.14	0.12	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.12	0.12	0.12	0.12	0.1	0.1	0.08	0.08	0.08	0.08	0.08	0.08	0.06	0.04
chr1:36087357_+	0.12	0.12	0.14	0.16	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.14	0.16	0.16	0.16	0.18	0.18	0.18	0.18	0.16	0.16	0.18	0.18	0.16	0.18	0.2	0.2	0.2	0.2	0.2	0.22	0.22	0.22	0.22	0.2	0.2
chr1:37507021_-	0.28	0.28	0.28	0.28	0.28	0.28	0.3	0.28	0.28	0.3	0.3	0.3	0.28	0.28	0.3	0.3	0.3	0.28	0.3	0.28	0.28	0.28	0.3	0.28	0.28	0.28	0.28	0.26	0.28	0.28	0.28	0.28	0.3	0.28	0.28	0.28	0.28	0.28	0.26	0.28	0.28	0.28	0.28	0.3	0.3	0.32	0.3	0.3	0.32	0.34	0.32
chr1:39943590_+	0.18	0.16	0.16	0.16	0.16	0.16	0.16	0.18	0.18	0.16	0.16	0.18	0.18	0.16	0.14	0.16	0.16	0.16	0.16	0.18	0.18	0.18	0.18	0.16	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.16	0.14	0.16	0.16	0.16	0.16	0.16	0.18	0.2	0.2	0.2	0.2	0.18	0.18	0.18	0.18	0.18
chr1:53165067_-	0.18	0.16	0.16	0.18	0.18	0.18	0.18	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.14	0.12	0.1	0.12	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.16	0.14	0.16	0.16	0.16	0.16	0.16	0.18	0.18	0.2	0.22	0.22	0.22	0.22	0.22	0.2	0.2	0.2	0.2	0.2
chr1:57917175_+	0.26	0.24	0.24	0.26	0.26	0.28	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.3	0.32	0.32	0.32	0.34	0.34	0.32	0.32	0.32	0.32	0.32	0.32	0.3	0.3	0.3	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28
chr1:58972385_-	0.26	0.24	0.22	0.22	0.2	0.2	0.18	0.18	0.16	0.14	0.14	0.16	0.16	0.16	0.16	0.18	0.16	0.18	0.18	0.18	0.18	0.2	0.2	0.2	0.2	0.22	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.26	0.24	0.24	0.24	0.24	0.24	0.24	0.26	0.26	0.24	0.22	0.24	0.24
chr1:59570524_+	0.34	0.34	0.36	0.34	0.32	0.3	0.28	0.28	0.28	0.26	0.26	0.26	0.24	0.22	0.22	0.22	0.22	0.22	0.22	0.24	0.24	0.24	0.24	0.24	0.24	0.22	0.22	0.2	0.2	0.18	0.16	0.18	0.2	0.2	0.2	0.22	0.24	0.22	0.2	0.18	0.2	0.22	0.2	0.2	0.22	0.22	0.22	0.22	0.22	0.22	0.22
chr1:60522515_-	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.04	0.04	0.04	0.02	0.02	0.02	0.04	0.04	0.04	0.04	0.04	0.06	0.06	0.06	0.08	0.08	0.08	0.08	0.08	0.1	0.12	0.12	0.12	0.14	0.14	0.14	0.14	0.14	0.16	0.16	0.16	0.16	0.16	0.18	0.18	0.18	0.18	0.18	0.18	0.2	0.2
chr1:63292016_+	0.16	0.16	0.16	0.18	0.2	0.2	0.18	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.12	0.1	0.08	0.08	0.08	0.1	0.08	0.08	0.08	0.08	0.08	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06
chr1:66260318_+	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.16	0.18	0.16	0.18	0.18	0.2	0.18	0.18	0.18	0.18	0.18	0.18	0.2	0.22	0.22	0.22	0.22	0.2	0.2	0.2	0.2	0.2	0.18	0.18	0.18	0.16	0.18	0.18	0.18	0.18	0.18	0.2	0.18	0.18	0.16	0.16	0.16	0.16	0.16	0.18
chr1:71620766_-	0.26	0.28	0.28	0.28	0.28	0.28	0.28	0.3	0.3	0.3	0.32	0.3	0.3	0.3	0.32	0.32	0.32	0.3	0.28	0.26	0.26	0.26	0.26	0.24	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.28	0.26	0.26	0.26	0.26	0.28	0.28	0.28	0.28	0.3	0.32	0.34	0.34	0.36	0.36	0.36
chr1:71639540_-	0.18	0.18	0.18	0.18	0.18	0.18	0.2	0.2	0.2	0.2	0.2	0.2	0.18	0.18	0.18	0.16	0.18	0.2	0.22	0.22	0.22	0.22	0.22	0.24	0.26	0.24	0.24	0.24	0.24	0.22	0.24	0.26	0.26	0.26	0.28	0.26	0.26	0.26	0.28	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.24	0.24
chr1:74476670_-	0.14	0.14	0.14	0.16	0.16	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.16	0.16	0.16	0.16	0.14	0.14	0.14	0.16	0.16	0.16	0.14	0.14	0.14	0.14	0.14	0.16	0.16	0.18	0.18	0.16	0.16	0.16	0.16	0.18	0.16	0.16	0.16	0.16	0.16	0.14	0.14	0.16	0.16	0.18	0.18	0.18	0.18
chr1:80322472_-	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.24	0.22	0.22	0.22	0.2	0.2	0.18	0.18	0.16	0.14	0.12	0.1	0.08	0.08	0.08	0.08	0.1	0.1	0.12	0.12	0.12	0.1	0.1	0.1	0.1	0.1	0.12	0.12	0.12	0.12	0.14	0.14	0.14	0.14
chr1:82741581_+	0.3	0.3	0.3	0.28	0.28	0.28	0.3	0.3	0.3	0.28	0.28	0.3	0.3	0.3	0.3	0.28	0.26	0.28	0.26	0.24	0.24	0.24	0.26	0.26	0.26	0.28	0.28	0.26	0.24	0.24	0.24	0.22	0.22	0.22	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.18	0.18	0.18	0.2	0.2
chr1:84737667_-	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.2	0.18	0.18	0.16	0.16	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.18	0.16	0.14	0.14	0.14	0.14	0.14	0.16	0.14	0.14	0.14	0.16	0.16	0.16	0.16	0.18	0.16	0.16	0.16	0.14	0.14	0.14	0.14
chr1:8608022_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0.02
chr1:87027051_+	0.22	0.22	0.24	0.26	0.26	0.26	0.28	0.28	0.3	0.28	0.28	0.28	0.3	0.32	0.34	0.34	0.34	0.34	0.32	0.34	0.34	0.32	0.3	0.3	0.32	0.32	0.32	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.32	0.32	0.32	0.32	0.32	0.3	0.28	0.26	0.26	0.26	0.28	0.28	0.28	0.26	0.26	0.26
chr1:87759350_+	0.26	0.26	0.24	0.22	0.22	0.24	0.24	0.24	0.22	0.22	0.22	0.22	0.24	0.24	0.24	0.24	0.24	0.24	0.22	0.24	0.22	0.22	0.22	0.22	0.22	0.24	0.24	0.22	0.22	0.24	0.24	0.26	0.26	0.24	0.24	0.24	0.22	0.22	0.24	0.24	0.22	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.22	0.22
chr1:87779805_+	0.1	0.12	0.12	0.12	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.08	0.08	0.08	0.1	0.1	0.12	0.12	0.12	0.12	0.12	0.12	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.16	0.14	0.14	0.14	0.14	0.14	0.14	0.16	0.16	0.18	0.18	0.18	0.18	0.18	0.16	0.14	0.14	0.14
chr1:89492479_+	0.46	0.44	0.46	0.46	0.46	0.46	0.46	0.48	0.48	0.5	0.5	0.48	0.48	0.48	0.48	0.48	0.48	0.5	0.52	0.5	0.48	0.48	0.48	0.46	0.46	0.46	0.46	0.46	0.46	0.48	0.48	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.52	0.54	0.52	0.5	0.5	0.5	0.48	0.48	0.48	0.48	0.48	0.48
chr1:89514666_+	0.32	0.32	0.34	0.36	0.36	0.38	0.38	0.38	0.4	0.38	0.36	0.36	0.34	0.32	0.34	0.34	0.34	0.34	0.34	0.32	0.3	0.28	0.26	0.28	0.28	0.28	0.26	0.26	0.26	0.26	0.24	0.24	0.24	0.22	0.22	0.22	0.22	0.24	0.24	0.24	0.24	0.24	0.22	0.24	0.24	0.24	0.22	0.2	0.22	0.22	0.22
chr1:91085995_+	0.3	0.28	0.26	0.26	0.26	0.28	0.28	0.28	0.3	0.28	0.28	0.3	0.32	0.3	0.3	0.28	0.26	0.28	0.28	0.28	0.28	0.26	0.26	0.28	0.28	0.28	0.3	0.3	0.3	0.3	0.3	0.3	0.28	0.26	0.26	0.24	0.24	0.26	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.3	0.3	0.3	0.3	0.3
chr1:92057605_-	0.24	0.24	0.22	0.22	0.2	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.2	0.2	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.16	0.14	0.14	0.14	0.12	0.12	0.1	0.1	0.08	0.08	0.1	0.1	0.1	0.12	0.12	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.12	0.12	0.12
chr1:93459767_-	0.26	0.28	0.28	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.28	0.28	0.26	0.26	0.26	0.26	0.26	0.28	0.28	0.28	0.3	0.28	0.28	0.26	0.26	0.24	0.24	0.22	0.2	0.22	0.24	0.24	0.24	0.26	0.28	0.26	0.24	0.22	0.24	0.26	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24
chr1:93806803_+	0.2	0.2	0.2	0.2	0.2	0.2	0.22	0.2	0.2	0.2	0.2	0.2	0.22	0.22	0.22	0.2	0.2	0.2	0.22	0.22	0.2	0.22	0.22	0.24	0.24	0.24	0.24	0.24	0.24	0.26	0.26	0.26	0.24	0.24	0.24	0.26	0.28	0.28	0.28	0.3	0.3	0.28	0.26	0.26	0.26	0.26	0.26	0.24	0.26	0.26	0.26
chr10:100480080_-	0.2	0.2	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.2	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.2	0.2	0.2	0.2	0.2	0.2	0.18	0.16	0.16	0.18	0.18	0.18	0.16	0.16	0.16	0.16	0.16	0.14	0.14	0.14	0.12	0.12	0.12	0.14	0.14	0.14	0.12	0.1	0.08	0.08	0.08	0.08
chr10:105782668_-	0.22	0.22	0.22	0.22	0.22	0.2	0.2	0.2	0.18	0.2	0.2	0.2	0.2	0.22	0.22	0.24	0.24	0.24	0.24	0.22	0.22	0.22	0.22	0.22	0.2	0.2	0.22	0.22	0.22	0.24	0.24	0.22	0.22	0.2	0.2	0.2	0.2	0.2	0.2	0.22	0.2	0.2	0.2	0.18	0.18	0.18	0.2	0.18	0.2	0.2	0.2
chr10:110770587_+	0.38	0.4	0.4	0.4	0.38	0.38	0.36	0.34	0.32	0.32	0.32	0.3	0.3	0.28	0.26	0.26	0.26	0.26	0.28	0.3	0.3	0.28	0.26	0.26	0.28	0.28	0.28	0.26	0.26	0.26	0.26	0.26	0.24	0.22	0.22	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.18	0.18	0.18	0.16	0.14	0.16	0.16	0.16
chr10:11173670_+	0.34	0.34	0.34	0.32	0.3	0.28	0.28	0.26	0.26	0.26	0.24	0.24	0.26	0.24	0.24	0.22	0.2	0.2	0.2	0.2	0.18	0.18	0.18	0.16	0.16	0.14	0.12	0.12	0.12	0.14	0.14	0.14	0.16	0.16	0.18	0.18	0.2	0.18	0.18	0.18	0.18	0.18	0.2	0.2	0.2	0.18	0.18	0.2	0.18	0.18	0.2
chr10:116500161_-	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.08	0.08	0.08	0.08	0.1	0.12	0.12	0.12	0.12	0.12	0.12	0.1	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.06	0.08	0.08	0.06	0.08	0.08	0.08	0.08	0.08	0.08	0.1
chr10:117124289_-	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
chr10:117223793_-	0.3	0.3	0.3	0.3	0.3	0.28	0.28	0.28	0.28	0.3	0.3	0.3	0.28	0.28	0.28	0.3	0.3	0.3	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.26	0.24	0.24	0.22	0.22	0.24	0.26	0.26	0.26	0.26	0.26	0.24	0.24	0.24	0.24	0.22	0.24	0.24	0.22	0.22	0.22	0.22	0.2	0.2	0.2	0.2
chr10:117358765_-	0.26	0.26	0.26	0.26	0.26	0.28	0.26	0.28	0.28	0.26	0.26	0.26	0.28	0.28	0.3	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.3	0.3	0.3	0.3	0.3	0.28	0.28	0.3	0.32	0.34	0.34	0.34	0.34	0.34	0.36	0.36	0.34	0.34	0.32	0.32	0.3	0.28	0.3	0.32	0.34
chr10:117709907_-	0.22	0.22	0.2	0.2	0.2	0.22	0.24	0.26	0.24	0.22	0.22	0.22	0.24	0.24	0.24	0.24	0.22	0.22	0.22	0.22	0.22	0.22	0.2	0.2	0.2	0.2	0.18	0.18	0.16	0.14	0.14	0.16	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.12	0.12	0.14	0.14	0.14	0.14	0.14	0.12	0.12	0.12	0.12
chr10:121605027_-	0.3	0.3	0.3	0.3	0.3	0.3	0.32	0.32	0.32	0.32	0.32	0.34	0.36	0.34	0.34	0.32	0.32	0.3	0.3	0.3	0.3	0.3	0.32	0.34	0.32	0.3	0.28	0.3	0.3	0.3	0.32	0.32	0.32	0.32	0.32	0.3	0.28	0.28	0.28	0.26	0.26	0.28	0.28	0.28	0.26	0.28	0.26	0.26	0.26	0.24	0.24
chr10:122921578_+	0.22	0.24	0.26	0.26	0.26	0.26	0.26	0.24	0.22	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.18	0.18	0.18	0.18	0.18	0.16	0.16	0.16	0.16	0.16	0.18	0.18	0.18	0.2	0.2	0.2	0.2	0.2	0.22	0.22	0.2	0.2	0.2	0.2	0.22	0.22	0.2	0.22	0.22	0.2	0.2
chr10:126885172_-	0.24	0.22	0.2	0.2	0.22	0.22	0.24	0.24	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.24	0.24	0.22	0.2	0.18	0.18	0.2	0.22	0.2	0.2	0.2	0.18	0.18	0.18	0.18	0.18	0.18	0.2	0.18	0.2	0.2	0.2	0.2	0.2	0.22	0.22	0.24	0.26	0.26	0.26	0.26	0.26	0.24	0.24	0.24	0.24
chr10:12813229_-	0.22	0.2	0.2	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.24	0.24	0.24	0.22	0.22	0.22	0.24	0.24	0.24	0.24	0.24	0.22	0.22	0.2	0.18	0.18	0.18	0.18	0.2	0.2	0.2	0.2	0.2	0.18	0.2	0.22	0.22	0.22	0.22	0.22	0.22	0.24	0.22	0.2	0.2	0.18	0.18	0.18	0.18	0.18
chr10:128749424_+	0.14	0.14	0.14	0.14	0.14	0.16	0.18	0.18	0.18	0.16	0.14	0.14	0.14	0.12	0.12	0.12	0.1	0.12	0.12	0.12	0.12	0.12	0.1	0.1	0.1	0.1	0.1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.12	0.14	0.14	0.14	0.14
chr10:25471875_+	0.32	0.32	0.32	0.32	0.3	0.28	0.28	0.28	0.26	0.26	0.24	0.22	0.2	0.2	0.22	0.22	0.22	0.22	0.22	0.24	0.22	0.22	0.2	0.2	0.22	0.2	0.18	0.18	0.18	0.2	0.2	0.18	0.2	0.18	0.18	0.2	0.22	0.22	0.24	0.24	0.24	0.24	0.24	0.24	0.22	0.22	0.22	0.22	0.22	0.22	0.22
chr10:28118306_+	0.28	0.28	0.28	0.26	0.26	0.26	0.26	0.26	0.26	0.24	0.24	0.24	0.26	0.24	0.24	0.24	0.24	0.26	0.28	0.26	0.26	0.28	0.28	0.28	0.3	0.3	0.3	0.32	0.32	0.32	0.3	0.3	0.3	0.32	0.32	0.32	0.32	0.32	0.32	0.3	0.3	0.3	0.28	0.26	0.28	0.28	0.3	0.28	0.3	0.3	0.28
