	ID	strand	Same Strand: Host_gene_name	Same Strand: Host_gene_ensembl_id	Same Strand: Repeat_Type	Same Strand: RNA_type_Classification	Transcript	CLIP_LISI_Dist	ID_LINESINE	repClass_LINESINE	repName_LINESINE
26	chr1:82741581-82741618	+	Mff	ENSMUSG00000026150	NA	protein_coding: Intron	ENSMUST00000078332	-666	chr1:82740800-82740915	SINE	PB1D9
27	chr1:84737621-84737667	-	Trip12	ENSMUSG00000026219	NA	protein_coding: Intron	ENSMUST00000186648	2833	chr1:84734645-84734788	SINE	RSINE1
28	chr1:8607928-8608022	-	Sntg1	ENSMUSG00000025909	LINE	Repeat Element	ENSMUST00000140295	0	chr1:8386825-8389555	LINE	Lx2
29	chr1:87759350-87759391	+	Atg16l1	ENSMUSG00000026289	NA	protein_coding: Intron	ENSMUST00000113186	123	chr1:87759473-87759600	SINE	B1_Mur3
30	chr1:87779805-87779838	+	Atg16l1	ENSMUSG00000026289	NA	protein_coding: Intron	ENSMUST00000113186	691	chr1:87780496-87780605	SINE	RSINE1
31	chr1:89492479-89492571	+	Agap1	ENSMUSG00000055013	NA	protein_coding: Intron	ENSMUST00000190096	-2143	chr1:89490243-89490336	SINE	PB1D7
32	chr1:89514666-89514712	+	Agap1	ENSMUSG00000055013	NA	protein_coding: Intron	ENSMUST00000190096	840	chr1:89515506-89515716	SINE	B3
33	chr1:91085995-91086029	+	Lrrfip1	ENSMUSG00000026305	NA	protein_coding: Intron	ENSMUST00000097649	1785	chr1:91087780-91087996	SINE	B3
34	chr1:92057575-92057605	-	Hdac4	ENSMUSG00000026313	NA	protein_coding: Intron	ENSMUST00000097644	-256	chr1:92057831-92057978	SINE	B1_Mus2
35	chr10:100480022-100480080	-	Tmtc3	ENSMUSG00000036676	NA	protein_coding: Intron	ENSMUST00000058154	955	chr10:100479022-100479067	LINE	L1Md_A
36	chr10:105782619-105782668	-	Mettl25	ENSMUSG00000036009	NA	protein_coding: Intron	ENSMUST00000046638	-169	chr10:105782788-105782939	SINE	RSINE1
37	chr10:110770587-110770638	+	E2f7	ENSMUSG00000020185	NA	protein_coding: Intron	ENSMUST00000073781	-232	chr10:110769626-110770355	LINE	L1M2c
38	chr10:11173670-11173727	+	Shprh	ENSMUSG00000090112	NA	protein_coding: Intron	ENSMUST00000044053	126	chr10:11173796-11174044	SINE	B4
39	chr10:115341383-115341422	-	Tmem19	ENSMUSG00000069520	NA	protein_coding: Intron	ENSMUST00000092170	-416	chr10:115341799-115341879	SINE	ID4
40	chr10:117124250-117124289	-	Frs2	ENSMUSG00000020170	SINE	Repeat Element	ENSMUST00000020381	-37	chr10:117124287-117124434	SINE	B1_Mus1
41	chr10:117358726-117358765	-	Cpsf6	ENSMUSG00000055531	LINE	Repeat Element	ENSMUST00000069168	0	chr10:117351794-117351934	SINE	B1F2
42	chr10:117709861-117709907	-	Mdm2	ENSMUSG00000020184	NA	protein_coding: Intron	ENSMUST00000020408	1566	chr10:117708149-117708295	SINE	B1_Mus2
43	chr10:121604976-121605027	-	Xpot	ENSMUSG00000034667	NA	protein_coding: Intron	ENSMUST00000039810	-1419	chr10:121606395-121606490	SINE	B1_Mur3
44	chr10:122921578-122921615	+	Ppm1h	ENSMUSG00000034613	NA	protein_coding: Intron	ENSMUST00000067918	215	chr10:122921793-122921939	SINE	B1_Mus1
45	chr10:12813193-12813229	-	Utrn	ENSMUSG00000019820	NA	protein_coding: Intron	ENSMUST00000076817	-1422	chr10:12814615-12815086	LINE	L1MB8
46	chr10:128749424-128749464	+	Pym1	ENSMUSG00000064030	NA	protein_coding: Intron	ENSMUST00000163377	2561	chr10:128751985-128752090	SINE	PB1D7
47	chr10:25471875-25471911	+	Epb41l2	ENSMUSG00000019978	NA	protein_coding: Intron	ENSMUST00000053748	-3470	chr10:25468296-25468405	SINE	PB1D10
48	chr10:28118306-28118340	+	Ptprk	ENSMUSG00000019889	NA	protein_coding: Intron	ENSMUST00000166468	-1059	chr10:28117072-28117247	SINE	B2_Mm2
49	chr10:28133538-28133567	+	Ptprk	ENSMUSG00000019889	NA	protein_coding: Intron	ENSMUST00000166468	-62	chr10:28133258-28133476	SINE	B4A
50	chr10:4053005-4053064	+	Mthfd1l	ENSMUSG00000040675	SINE	Repeat Element	ENSMUST00000117291	0	chr10:3974457-3974735	SINE	B4
51	chr10:42273405-42273441	-	Foxo3	ENSMUSG00000048756	NA	protein_coding: Intron	ENSMUST00000105502	1079	chr10:42272193-42272326	SINE	B1_Mur2
52	chr10:50650732-50650778	+	Ascc3	ENSMUSG00000038774	NA	protein_coding: Intron	ENSMUST00000035606	2159	chr10:50652891-50653029	SINE	B1_Mus1
53	chr10:53367953-53368004	-	Cep85l	ENSMUSG00000038594	NA	protein_coding: Intron	ENSMUST00000095691	3697	chr10:53364160-53364256	SINE	ID_B1
54	chr10:53610110-53610170	-	Mcm9	ENSMUSG00000058298	NA	protein_coding: Intron	ENSMUST00000075540	357	chr10:53609614-53609753	SINE	B1_Mur2
55	chr10:54064579-54064635	-	Man1a	ENSMUSG00000003746	SINE	Repeat Element	ENSMUST00000003843	-42	chr10:54064621-54064814	SINE	B2_Mm1a
56	chr10:58461698-58461739	+	Ranbp2	ENSMUSG00000003226	NA	protein_coding: Intron	ENSMUST00000003310	1802	chr10:58463500-58463638	SINE	B1_Mus2
57	chr10:60445831-60445890	-	Cdh23	ENSMUSG00000012819	SINE	Repeat Element	ENSMUST00000105464	-54	chr10:60445885-60446095	SINE	MIR
58	chr10:62505804-62505866	-	Srgn	ENSMUSG00000020077	SINE	Repeat Element	ENSMUST00000160987	-42	chr10:62505846-62505979	SINE	B1_Mur2
59	chr10:67907503-67907538	-	Zfp365	ENSMUSG00000037855	NA	protein_coding: Intron	ENSMUST00000064656	125	chr10:67907170-67907378	SINE	ID_B1
60	chr10:70138789-70138822	+	Ccdc6	ENSMUSG00000048701	NA	protein_coding: Intron	ENSMUST00000147545	1093	chr10:70139882-70140033	SINE	RSINE1
61	chr10:84667505-84667560	+	Polr3b	ENSMUSG00000034453	NA	protein_coding: Intron	ENSMUST00000077175	3399	chr10:84670904-84671291	LINE	Lx3_Mus
62	chr10:99018220-99018256	+	Atp2b1	ENSMUSG00000019943	NA	protein_coding: Intron	ENSMUST00000020107	-133	chr10:99017989-99018087	SINE	MIRb
63	chr11:100504854-100504876	-	Acly	ENSMUSG00000020917	NA	protein_coding: Intron	ENSMUST00000107389	156	chr11:100504568-100504698	SINE	MIRb
64	chr11:100613325-100613382	-	Dnajc7	ENSMUSG00000014195	NA	protein_coding: Intron	ENSMUST00000014339	-1497	chr11:100614822-100614996	SINE	B2_Mm2
65	chr11:102498192-102498236	-	Gpatch8	ENSMUSG00000034621	LTR	Repeat Element	ENSMUST00000143842	-213	chr11:102498405-102498523	SINE	PB1D10
66	chr11:103947976-103948015	-	Nsf	ENSMUSG00000034187	SINE	Repeat Element	ENSMUST00000103075	0	chr11:103824265-103824411	SINE	B1_Mus1
67	chr11:105320003-105320047	+	Mrc2	ENSMUSG00000020695	LINE | SINE	Repeat Element	ENSMUST00000100335	0	chr11:105297217-105297362	SINE	B1_Mur4
68	chr11:106066807-106066843	+	Taco1	ENSMUSG00000001983	NA	protein_coding: Intron	ENSMUST00000002048	68	chr11:106066875-106067020	SINE	B1_Mus2
69	chr11:106123115-106123177	+	Map3k3	ENSMUSG00000020700	NA	protein_coding: Intron	ENSMUST00000002044	-1319	chr11:106121736-106121796	SINE	ID2
70	chr11:106245592-106245653	+	Ddx42	ENSMUSG00000020705	NA	protein_coding: Intron	ENSMUST00000021046	-426	chr11:106245010-106245166	SINE	ID_B1
71	chr11:115916957-115917009	-	Recql5	ENSMUSG00000020752	NA	protein_coding: Intron	ENSMUST00000021097	-1565	chr11:115918522-115918653	SINE	B1_Mur4
72	chr11:116485180-116485233	-	Prpsap1	ENSMUSG00000015869	SINE	Repeat Element	ENSMUST00000106391	-1	chr11:116485181-116485272	SINE	B3
73	chr11:119219179-119219219	-	Tbc1d16	ENSMUSG00000039976	NA	protein_coding: Intron	ENSMUST00000036113	-223	chr11:119219402-119219650	SINE	B4
74	chr11:120889395-120889448	-	Ccdc57	ENSMUSG00000048445	NA	protein_coding: Intron	ENSMUST00000056781	910	chr11:120888344-120888485	SINE	RSINE1
75	chr11:121460815-121460878	+	Tbcd	ENSMUSG00000039230	NA	protein_coding: Intron	ENSMUST00000103013	-1480	chr11:121459153-121459335	SINE	B2_Mm2
76	chr11:12303122-12303172	-	Cobl	ENSMUSG00000020173	LTR	Repeat Element	ENSMUST00000109650	-2611	chr11:12305733-12305916	SINE	B3
77	chr11:19973580-19973618	+	Spred2	ENSMUSG00000045671	NA	protein_coding: Intron	ENSMUST00000093298	1102	chr11:19974682-19974869	SINE	B2_Mm2
78	chr11:29382948-29382981	+	Ccdc88a	ENSMUSG00000032740	NA	protein_coding: Intron	ENSMUST00000040182	-2967	chr11:29379755-29379981	LINE	L1MC
79	chr11:32207887-32207936	+	Snrnp25	ENSMUSG00000040767	NA	protein_coding: Intron	ENSMUST00000039601	-1712	chr11:32206037-32206175	SINE	B1_Mur1
80	chr11:32217722-32217777	-	Rhbdf1	ENSMUSG00000020282	NA	protein_coding: Intron	ENSMUST00000020524	-1575	chr11:32219297-32219356	SINE	ID_B1
81	chr11:3296792-3296838	+	Patz1	ENSMUSG00000020453	SINE	Repeat Element	ENSMUST00000110043	0	chr11:3296783-3296937	SINE	B1_Mur2
82	chr11:33153685-33153719	-	Npm1	ENSMUSG00000057113	NA	protein_coding: Intron	ENSMUST00000075641	-5173	chr11:33158858-33158989	SINE	B1_Mus1
83	chr11:35783004-35783044	+	Pank3	ENSMUSG00000018846	NA	protein_coding: Intron	ENSMUST00000018990	-321	chr11:35782536-35782683	SINE	B4A
84	chr11:43423030-43423092	-	Pttg1	ENSMUSG00000020415	NA	protein_coding: Intron	ENSMUST00000020687	371	chr11:43422573-43422659	SINE	B1_Mur3
85	chr11:4537992-4538064	-	Mtmr3	ENSMUSG00000034354	NA	protein_coding: Intron	ENSMUST00000109943	113	chr11:4537753-4537879	SINE	B1F
86	chr11:5040692-5040729	+	Ap1b1	ENSMUSG00000009090	NA	protein_coding: Intron	ENSMUST00000009234	-4387	chr11:5036142-5036305	SINE	RSINE1
87	chr11:54495349-54495408	+	Fnip1	ENSMUSG00000035992	NA	protein_coding: Intron	ENSMUST00000046835	864	chr11:54496213-54496358	SINE	B1F
88	chr11:54575048-54575112	+	Rapgef6	ENSMUSG00000037533	NA	protein_coding: Intron	ENSMUST00000102743	390	chr11:54575438-54575644	SINE	B3
89	chr11:57523680-57523730	+	Mfap3	ENSMUSG00000020522	NA	protein_coding: Intron	ENSMUST00000108849	95	chr11:57523775-57523923	SINE	B1_Mus1
90	chr11:60177503-60177542	+	Rai1	ENSMUSG00000062115	NA	protein_coding: Intron	ENSMUST00000064190	4320	chr11:60181823-60181899	SINE	ID2
91	chr11:61157442-61157479	-	Usp22	ENSMUSG00000042506	NA	protein_coding: Intron	ENSMUST00000041683	-344	chr11:61157786-61157865	SINE	ID4
92	chr11:62358786-62358824	-	Ncor1	ENSMUSG00000018501	NA	protein_coding: Intron	ENSMUST00000018645	2462	chr11:62356242-62356324	SINE	B1_Mur3
93	chr11:65162058-65162102	-	Arhgap44	ENSMUSG00000033389	NA	protein_coding: Intron	ENSMUST00000047463	1461	chr11:65160376-65160597	LINE	L2b
94	chr11:66393426-66393490	-	Shisa6	ENSMUSG00000053930	SINE	Repeat Element	ENSMUST00000066679	-53	chr11:66393479-66393616	SINE	B1_Mus1
95	chr11:66437433-66437496	-	Shisa6	ENSMUSG00000053930	SINE	Repeat Element	ENSMUST00000066679	-44	chr11:66437477-66437625	SINE	B1_Mus1
96	chr11:74520388-74520448	-	Rap1gap2	ENSMUSG00000038807	SINE	Repeat Element	ENSMUST00000102521	-39	chr11:74520427-74520575	SINE	B1F
97	chr11:74789516-74789554	+	Mettl16	ENSMUSG00000010554	NA	protein_coding: Intron	ENSMUST00000010698	-488	chr11:74788953-74789028	SINE	ID4
98	chr11:75741858-75741916	+	Ywhae	ENSMUSG00000020849	NA	protein_coding: Intron	ENSMUST00000067664	61	chr11:75741919-75742057	SINE	B1_Mus2
99	chr11:76564654-76564711	-	Abr	ENSMUSG00000017631	NA	protein_coding: Intron	ENSMUST00000072740	377	chr11:76564107-76564277	SINE	ID_B1
100	chr11:77721874-77721911	-	Cryba1	ENSMUSG00000000724	SINE	Repeat Element	ENSMUST00000078623	0	chr11:77719867-77719954	SINE	B4
101	chr11:77997585-77997628	+	Phf12	ENSMUSG00000037791	NA	protein_coding: Intron	ENSMUST00000049167	-649	chr11:77996775-77996936	SINE	B2_Mm2
102	chr11:78281744-78281789	+	2610507B11Rik	ENSMUSG00000010277	NA	protein_coding: Intron	ENSMUST00000010421	-686	chr11:78280980-78281058	SINE	ID4
103	chr11:80365164-80365206	-	5730455P16Rik	ENSMUSG00000057181	SINE	Repeat Element	ENSMUST00000103225	8	chr11:80365093-80365156	SINE	B3A
104	chr11:84186383-84186430	+	Acaca	ENSMUSG00000020532	NA	protein_coding: Intron	ENSMUST00000103201	-1681	chr11:84184567-84184702	SINE	B1_Mur4
105	chr11:86535367-86535412	-	Rps6kb1	ENSMUSG00000020516	NA	protein_coding: Intron	ENSMUST00000154617	490	chr11:86534768-86534877	SINE	B1F
106	chr11:87110180-87110220	+	Ska2	ENSMUSG00000020492	NA	protein_coding: Intron	ENSMUST00000020794	3303	chr11:87113483-87113668	SINE	B3A
107	chr11:88706559-88706602	-	Msi2	ENSMUSG00000069769	NA	protein_coding: Intron	ENSMUST00000092794	-1581	chr11:88708140-88708197	SINE	MIRc
108	chr11:88711788-88711823	-	Msi2	ENSMUSG00000069769	NA	protein_coding: Intron	ENSMUST00000092794	1193	chr11:88710526-88710595	SINE	MIR
109	chr11:95675869-95675918	+	Phb	ENSMUSG00000038845	NA	protein_coding: Intron	ENSMUST00000125172	1033	chr11:95676902-95676959	SINE	PB1D7
110	chr11:97045861-97045905	+	Mrpl10	ENSMUSG00000001445	SINE	Repeat Element	ENSMUST00000001485	0	chr11:97044148-97044334	SINE	ID_B1
111	chr11:98167959-98168003	-	Med1	ENSMUSG00000018160	NA	protein_coding: Intron	ENSMUST00000107545	2724	chr11:98165145-98165235	SINE	PB1D9
112	chr11:98822201-98822267	+	Casc3	ENSMUSG00000078676	NA	protein_coding: Intron	ENSMUST00000169695	-39	chr11:98822046-98822162	SINE	PB1D9
113	chr11:99012890-99012950	-	Top2a	ENSMUSG00000020914	NA	protein_coding: Intron	ENSMUST00000068031	-652	chr11:99013542-99013719	SINE	B2_Mm2
114	chr12:105835764-105835801	+	Papola	ENSMUSG00000021111	NA	protein_coding: Intron	ENSMUST00000109901	-3239	chr12:105832450-105832525	SINE	B4A
115	chr12:111251317-111251370	+	Traf3	ENSMUSG00000021277	NA	protein_coding: Intron	ENSMUST00000021706	2199	chr12:111253516-111253662	SINE	B1_Mus2
116	chr12:112823280-112823329	-	Cdca4	ENSMUSG00000047832	LTR	Repeat Element	ENSMUST00000062092	-305	chr12:112823585-112823794	SINE	B3
117	chr12:11314000-11314023	+	Smc6	ENSMUSG00000020608	NA	protein_coding: Intron	ENSMUST00000020931	-1252	chr12:11312690-11312748	SINE	B1F
118	chr12:21295652-21295696	+	Cpsf3	ENSMUSG00000054309	NA	protein_coding: Intron	ENSMUST00000067284	-47	chr12:21295474-21295605	SINE	RSINE1
119	chr12:3442013-3442051	+	Asxl2	ENSMUSG00000037486	NA	protein_coding: Intron	ENSMUST00000153102	-886	chr12:3440926-3441127	SINE	ID_B1
120	chr12:3493964-3494030	+	Asxl2	ENSMUSG00000037486	SINE	Repeat Element	ENSMUST00000153102	17	chr12:3493981-3494126	SINE	B1_Mm
121	chr12:52226441-52226495	+	Nubpl	ENSMUSG00000035142	LTR	Repeat Element	ENSMUST00000040090	76	chr12:52226517-52226662	LINE	Lx8
122	chr12:54791299-54791365	-	Snx6	ENSMUSG00000005656	LTR	Repeat Element	ENSMUST00000005798	-561	chr12:54791860-54791989	SINE	RSINE1
123	chr12:65144618-65144661	-	Mis18bp1	ENSMUSG00000047534	NA	protein_coding: Intron	ENSMUST00000052201	-1801	chr12:65146419-65146558	SINE	B1_Mus1
124	chr12:69325296-69325356	-	Nemf	ENSMUSG00000020982	NA	protein_coding: Intron	ENSMUST00000021368	147	chr12:69325029-69325149	SINE	ID_B1
125	chr12:76961136-76961179	-	Max	ENSMUSG00000059436	NA	protein_coding: Intron	ENSMUST00000082136	1429	chr12:76959601-76959707	SINE	PB1D11
126	chr12:79427320-79427371	+	Rad51b	ENSMUSG00000059060	NA	protein_coding: Intron	ENSMUST00000171210	666	chr12:79427986-79428096	SINE	B1_Mur1
127	chr12:79511448-79511482	+	Rad51b	ENSMUSG00000059060	NA	protein_coding: Intron	ENSMUST00000171210	1987	chr12:79513435-79513557	SINE	MIRb
128	chr12:83534053-83534094	+	Dcaf4	ENSMUSG00000021222	NA	protein_coding: Intron	ENSMUST00000021645	-2096	chr12:83531899-83531957	SINE	MIR3
129	chr12:83669764-83669825	+	Rbm25	ENSMUSG00000010608	NA	protein_coding: Intron	ENSMUST00000048155	133	chr12:83669897-83670043	SINE	B1_Mm
130	chr12:83812111-83812155	-	Numb	ENSMUSG00000021224	SINE	Repeat Element	ENSMUST00000117217	2	chr12:83811947-83812109	SINE	B3
131	chr12:83967892-83967932	-	Heatr4	ENSMUSG00000090843	SINE	Repeat Element	ENSMUST00000164935	-33	chr12:83967925-83968007	SINE	ID_B1
132	chr12:84404331-84404450	-	Entpd5	ENSMUSG00000021236	SINE	Repeat Element	ENSMUST00000110272	-105	chr12:84404436-84404628	SINE	B2_Mm1a
133	chr12:85921324-85921358	+	Ttll5	ENSMUSG00000012609	NA	protein_coding: Intron	ENSMUST00000040179	1862	chr12:85923186-85923328	SINE	RSINE1
134	chr12:98894930-98894971	-	Eml5	ENSMUSG00000051166	SINE	Repeat Element	ENSMUST00000065716	-41	chr12:98894971-98895118	SINE	B1_Mus2
135	chr13:101721495-101721536	-	Pik3r1	ENSMUSG00000041417	NA	protein_coding: Intron	ENSMUST00000055518	3751	chr13:101717618-101717744	SINE	MIRc
136	chr13:102920850-102920891	-	Mast4	ENSMUSG00000034751	SINE	Repeat Element	ENSMUST00000167058	-35	chr13:102920885-102921033	SINE	B1_Mus1
137	chr13:105031640-105031682	-	Rgs7bp	ENSMUSG00000021719	LTR	Repeat Element	ENSMUST00000063551	-55	chr13:105031695-105031787	SINE	B4
138	chr13:109910397-109910456	+	Pde4d	ENSMUSG00000021699	NA	protein_coding: Intron	ENSMUST00000122041	480	chr13:109910877-109911245	LINE	L1MC3
139	chr13:111448645-111448691	-	Gm49496,Gpbp1	ENSMUSG00000032745,ENSMUSG00000116016	NA	protein_coding: Intron	ENSMUST00000047627	-1657	chr13:111450302-111450398	SINE	B1_Mur1
140	chr13:113997025-113997066	+	Arl15	ENSMUSG00000042348	NA	protein_coding: Intron	ENSMUST00000091201	855	chr13:113997880-113998143	SINE	B4A
141	chr13:114051628-114051680	+	Arl15	ENSMUSG00000042348	NA	protein_coding: Intron	ENSMUST00000091201	1908	chr13:114053536-114053622	SINE	B1_Mur4
142	chr13:12402044-12402083	+	Heatr1	ENSMUSG00000050244	NA	protein_coding: Intron	ENSMUST00000059270	-1287	chr13:12400610-12400757	SINE	B1_Mus2
143	chr13:18737663-18737709	+	Vps41	ENSMUSG00000041236	NA	protein_coding: Intron	ENSMUST00000072961	-7455	chr13:18730119-18730208	LINE	Lx6
144	chr13:34900642-34900680	+	Prpf4b	ENSMUSG00000021413	NA	protein_coding: Intron	ENSMUST00000077853	-2465	chr13:34898041-34898177	SINE	B1_Mur1
145	chr13:3581581-3581624	-	Tasor2	ENSMUSG00000033799	NA	protein_coding: Intron	ENSMUST00000096069	305	chr13:3580991-3581276	SINE	B4
146	chr13:38619579-38619614	-	Bloc1s5	ENSMUSG00000038982	NA	protein_coding: Intron	ENSMUST00000035899	-437	chr13:38620016-38620123	SINE	PB1D10
147	chr13:43244889-43244929	-	Gfod1	ENSMUSG00000051335	NA	protein_coding: Intron	ENSMUST00000055341	1047	chr13:43243739-43243842	SINE	MIR
148	chr13:43460075-43460112	-	Ranbp9	ENSMUSG00000038546	NA	protein_coding: Intron	ENSMUST00000144326	-2207	chr13:43462282-43462458	SINE	B3
149	chr13:55468112-55468143	+	Prr7	ENSMUSG00000034686	NA	protein_coding: Intron	ENSMUST00000046533	190	chr13:55468302-55468412	SINE	B1F
150	chr13:56090808-56090855	-	H2afy	ENSMUSG00000015937	NA	protein_coding: Intron	ENSMUST00000016081	3215	chr13:56087499-56087593	SINE	MIRb
151	chr13:60651186-60651230	+	Dapk1	ENSMUSG00000021559	NA	protein_coding: Intron	ENSMUST00000077453	521	chr13:60651707-60651971	SINE	B4
152	chr13:9148897-9148952	+	Larp4b	ENSMUSG00000033499	NA	protein_coding: Intron	ENSMUST00000091829	-2	chr13:9148821-9148895	SINE	PB1D11
153	chr13:9388628-9388674	+	Dip2c	ENSMUSG00000048264	NA	protein_coding: Intron	ENSMUST00000174552	2482	chr13:9391110-9391258	SINE	B1_Mus1
154	chr13:94441112-94441165	+	Ap3b1	ENSMUSG00000021686	NA	protein_coding: Intron	ENSMUST00000022196	992	chr13:94442104-94442222	SINE	PB1D9
155	chr13:97075673-97075720	+	Fam169a	ENSMUSG00000041817	NA	protein_coding: Intron	ENSMUST00000042517	-1126	chr13:97074354-97074547	SINE	B2_Mm1a
156	chr14:101666280-101666321	+	Uchl3	ENSMUSG00000022111	NA	protein_coding: Intron	ENSMUST00000002289	5011	chr14:101671291-101671421	SINE	B1F1
157	chr14:103246731-103246780	-	Mycbp2	ENSMUSG00000033004	SINE	Repeat Element	ENSMUST00000159855	0	chr14:103114599-103114776	SINE	B2_Mm2
158	chr14:105137760-105137796	-	Rbm26	ENSMUSG00000022119	NA	protein_coding: Intron	ENSMUST00000100327	-866	chr14:105138626-105138788	SINE	MIRc
159	chr14:11644878-11644945	+	Ptprg	ENSMUSG00000021745	NA	protein_coding: Intron	ENSMUST00000022264	2626	chr14:11647504-11647592	SINE	MIR
160	chr14:12286205-12286249	+	3830406C13Rik,Gm49355	ENSMUSG00000033111,ENSMUSG00000114378	NA	protein_coding: Intron	ENSMUST00000163392	3107	chr14:12289312-12289510	SINE	B3
161	chr14:20149168-20149202	-	Kcnk5	ENSMUSG00000023243	NA	protein_coding: Intron	ENSMUST00000024011	-996	chr14:20150164-20150391	SINE	MIR
162	chr14:20469481-20469504	-	Anxa7	ENSMUSG00000021814	NA	protein_coding: Intron	ENSMUST00000065504	434	chr14:20468872-20469047	SINE	B3A
163	chr14:20737941-20738001	-	Camk2g	ENSMUSG00000021820	NA	protein_coding: Intron	ENSMUST00000100837	-2784	chr14:20740725-20740821	SINE	MIRb
164	chr14:21565797-21565833	+	Kat6b	ENSMUSG00000021767	NA	protein_coding: Intron	ENSMUST00000182405	782	chr14:21566579-21566716	SINE	B1_Mus2
165	chr14:26476313-26476354	-	Slmap	ENSMUSG00000021870	NA	protein_coding: Intron	ENSMUST00000102956	-325	chr14:26476638-26476680	LINE	L2
166	chr14:32217641-32217674	+	Parg	ENSMUSG00000021911	NA	protein_coding: Intron	ENSMUST00000022470	-635	chr14:32216729-32217006	SINE	B4A
167	chr14:34482370-34482406	-	Bmpr1a	ENSMUSG00000021796	NA	protein_coding: Intron	ENSMUST00000049005	1290	chr14:34480885-34481080	SINE	B2_Mm2
