ID	strand	Average MAPQ	Counts_Unique	Counts_Multimappers_All	Counts_Multimappers_Scaled	Counts_Multimappers_BestMapping	Multimaped Reads %	Control:Counts_Unique	Control:Counts_Multimappers_All	Control:Counts_Multimappers_Scaled	Control:Counts_Multimappers_BestMapping	Same Strand: Host_gene_name	Same Strand: Host_gene_ensembl_id	Same Strand: RNA_type	Same Strand: Repeat_Type	Same Strand: Intron Exon	Same Strand: RNA_type_Classification	Same Strand: ncRNA_Classification	Opposite Strand: Host_gene_name	Opposite Strand: Host_gene_ensembl_id	Opposite Strand: RNA_type	Opposite Strand: Repeat_Type	Opposite Strand: Intron Exon	Opposite Strand: RNA_type_Classification	Opposite Strand: ncRNA_Classification	Both Strand: RNA_type_Classification	MM_number	MM_Alt_Peaktype	MM_Same_Peaktype	MM_biotype	MM_Prec_Alt_Peaktype	MM_Alt_Alignments	iCount_peak
BK000964.3:3117-3426	+		613	1093	851.83	841	43.9158279963403	22	36	29	29	45S,5ETS		rRNA			ncRNA	rRNA	45S,5ETS		rRNA			ncRNA	rRNA	ncRNA	177	177	0	rRNA, lncRNA	100	chr17:39845534-39845777_lncRNA	0
BK000964.3:3623-4065	+		578	1121	807.65	824	48.4388938447814	20	37	27.33	29	18S,45S,5ETS		rRNA			ncRNA	rRNA	18S,45S,5ETS		rRNA			ncRNA	rRNA	ncRNA	425	65	360	rRNA, lncRNA	15.2941176470588	chr16:18533190-18533334_rRNA, chr17:39845972-39846198_lncRNA, chr17:39846253-39846414_rRNA	0
BK000964.3:4126-4423	+		936	1806	1313.95	1293	48.1727574750831	35	67	48.67	46	18S,45S		rRNA			ncRNA	rRNA	18S,45S		rRNA			ncRNA	rRNA	ncRNA	572	0	572	rRNA	0	chr16:18533190-18533334_rRNA, chr17:39846492-39846893_rRNA, chr6:3200794-3201021_rRNA	0
BK000964.3:5045-5265	+		435	1209	798.75	823	64.0198511166253	14	43	27.67	30	18S,45S		rRNA			ncRNA	rRNA	18S,45S		rRNA			ncRNA	rRNA	ncRNA	509	0	509	rRNA	0	chr10:82955117-82955429_rRNA, chr17:39847370-39847617_rRNA, chr6:3201112-3201678_rRNA	0
BK000964.3:5525-5925	+		710	1604	1113.2	1104	55.7356608478803	20	47	31.83	29	18S,45S,ITS1		rRNA			ncRNA	rRNA	18S,45S,ITS1		rRNA			ncRNA	rRNA	ncRNA	608	0	608	rRNA	0	chr1:56782046-56782345_rRNA, chr17:39847872-39848247_rRNA, chr2:27121369-27121479_rRNA, chr4:78773706-78774224_rRNA, chr8:3754405-3754751_rRNA	0
BK000964.3:58-854	+		1124	1374	1247.17	1248	18.1950509461427	39	47	43	39	45S,5ETS		rRNA			ncRNA	rRNA	45S,5ETS		rRNA			ncRNA	rRNA	ncRNA	112	112	0	rRNA, Repeat Element	100	chr11:104072915-104073121_Repeat Element, chr17:39842992-39843327_Repeat Element	0
BK000964.3:6073-6136	+		60	89	74.5	78	32.5842696629214	3	4	3.5	3	45S,ITS1		rRNA			ncRNA	rRNA	45S,ITS1		rRNA			ncRNA	rRNA	ncRNA	19	19	0	rRNA, lncRNA	100	chr17:39848398-39848460_lncRNA	0
BK000964.3:6272-9246	+		8513	9481	8988.83	8974	10.2098934711528	290	323	306	308	28S,45S,5.8S,ITS1,ITS2		rRNA			ncRNA	rRNA	28S,45S,5.8S,ITS1,ITS2		rRNA			ncRNA	rRNA	ncRNA	328	223	105	rRNA, protein_coding: Intron, no Feature, lncRNA	67.9878048780488	chr1:131573831-131574034_rRNA, chr11:106066807-106066843_protein_coding: Intron, chr16:91534592-91534697_no Feature, chr17:36231536-36231570_no Feature, chr17:39848622-39848827_lncRNA, chr2:22744838-22744951_rRNA, chr3:62159058-62159221_rRNA, chr5:146260990-146261359_rRNA	0
BK000964.3:909-983	+		223	644	415.67	420	65.3726708074534	6	22	13.33	15	45S,5ETS		rRNA			ncRNA	rRNA	45S,5ETS		rRNA			ncRNA	rRNA	ncRNA	284	284	0	rRNA, no Feature, Repeat Element	100	chr11:104072782-104072832_no Feature, chr17:39842992-39843327_Repeat Element	0
BK000964.3:9463-9520	+		5	37	9.73	7	86.4864864864865	0	0	0	0	28S,45S		rRNA			ncRNA	rRNA	28S,45S		rRNA			ncRNA	rRNA	ncRNA	6	0	6	rRNA	0	chr12:99645070-99645678_rRNA, chr15:86194834-86194990_rRNA, chr16:57391417-57391475_rRNA	0
BK000964.3:9764-10781	+		4160	5229	4534.01	4549	20.4436794798241	141	181	154.77	150	28S,45S		rRNA			ncRNA	rRNA	28S,45S		rRNA			ncRNA	rRNA	ncRNA	900	0	900	rRNA	0	chr10:105238136-105238549_rRNA, chr11:109011692-109011896_rRNA, chr11:109011965-109012091_rRNA, chr11:17221282-17221493_rRNA, chr11:33754701-33754969_rRNA, chr13:44869571-44869927_rRNA, chr13:97190543-97190635_rRNA, chr14:104715774-104715857_rRNA, chr15:86195064-86195320_rRNA, chr16:35981584-35981664_rRNA, chr19:51142471-51142781_rRNA, chr2:20900150-20900213_rRNA, chr6:44793200-44793300_rRNA	0
chr1:100126714-100126759	-		17	34	20.63	19	50	1	1	1	1						no Feature		Cntnap5b	ENSMUSG00000067028	protein_coding	LINE	intron	Repeat Element		Antisense Feature							0
chr1:100180097-100180358	-		50	87	61.03	60	42.5287356321839	1	1	1	1						no Feature		Cntnap5b	ENSMUSG00000067028	protein_coding	LINE	intron	Repeat Element		Antisense Feature							1
chr1:100459445-100459506	-		7	7	7	7	0	0	0	0	0				LINE | SINE		Repeat Element		Cntnap5b	ENSMUSG00000067028	protein_coding		intron	protein_coding: Intron		Repeat Element							0
chr1:10049537-10049588	-		6	63	6.22	6	90.4761904761905	0	0	0	0						no Feature		Cspp1	ENSMUSG00000056763	protein_coding	LTR,Simple_repeat	intron	Repeat Element		Antisense Feature							0
chr1:100554662-100554713	+		5	22	6.12	7	77.2727272727273	0	0	0	0				LTR		Repeat Element							no Feature		Repeat Element							0
chr1:100883502-100883544	+		7	12	7.85	8	41.6666666666667	0	0	0	0				Simple_repeat		Repeat Element							no Feature		Repeat Element							0
chr1:101348755-101348792	+		7	15	7	7	53.3333333333333	0	0	0	0				Simple_repeat		Repeat Element					LTR		Repeat Element		Repeat Element							0
chr1:102197285-102197344	-		11	15	12.33	13	26.6666666666667	0	0	0	0				LINE		Repeat Element					Simple_repeat		Repeat Element		Repeat Element							0
chr1:102628184-102628339	-		12	39	20.83	18	69.2307692307692	0	0	0	0	LSU-rRNA_Hsa		rRNA			ncRNA	rRNA						no Feature	rRNA	ncRNA	17	0	17	rRNA	0	BK000964.3:12331-12430_rRNA, chr17:70963657-70963898_rRNA, chr2:102829371-102829471_rRNA	1
chr1:103142790-103142838	+		8	18	9.15	9	55.5555555555556	0	1	0.02	0				Low_complexity		Repeat Element							no Feature		Repeat Element							0
chr1:103194409-103194485	+		6	9	7	7	33.3333333333333	0	0	0	0	Gm18728	ENSMUSG00000100955	pseudogene	Simple_repeat		Repeat Element							no Feature		Repeat Element							0
chr1:103194410-103194446	-		6	7	6.25	7	14.2857142857143	0	0	0	0						no Feature		Gm18728	ENSMUSG00000100955	pseudogene	Simple_repeat		Repeat Element		Antisense Feature							0
chr1:103844668-103844707	+		5	98	5.79	6	94.8979591836735	0	6	0.05	0	4.5SRNA		scRNA			ncRNA	scRNA						no Feature	scRNA	ncRNA	535	49	486	scRNA, Repeat Element	9.1588785046729	chr1:131642505-131642570_scRNA, chr12:119325165-119325243_scRNA, chr13:64559793-64559859_scRNA, chr14:115997637-115997693_scRNA, chr16:27336696-27336762_scRNA, chr16:52058453-52058515_scRNA, chr16:66489899-66489945_scRNA, chr17:12694216-12694258_scRNA, chr17:47060596-47060659_scRNA, chr17:6792729-6792761_scRNA, chr19:17710813-17710852_scRNA, chr2:113672923-113672981_scRNA, chr2:116630192-116630243_Repeat Element, chr2:9262454-9262513_scRNA, chr3:103591469-103591532_scRNA, chr4:119525496-119525537_scRNA, chr4:35312152-35312215_scRNA, chr5:46107059-46107092_scRNA, chr7:126228197-126228229_scRNA, chr9:45736390-45736432_scRNA, chr9:94843308-94843348_scRNA	0
chr1:104763918-104763994	-		10	44	15	16	77.2727272727273	0	0	0	0						no Feature					Simple_repeat		Repeat Element		Antisense Feature							0
chr1:105368789-105368844	-		7	8	7.25	7	12.5	0	0	0	0						no Feature					SINE,Simple_repeat		Repeat Element		Antisense Feature							0
chr1:106124636-106124704	-		7	18	8.94	8	61.1111111111111	0	0	0	0						no Feature					Simple_repeat		Repeat Element		Antisense Feature							0
chr1:109197140-109197194	-		10	12	10.83	10	16.6666666666667	0	0	0	0						no Feature					Simple_repeat		Repeat Element		Antisense Feature							0
chr1:109417246-109417284	+		5	7	5.55	6	28.5714285714286	0	0	0	0						no Feature					LINE		Repeat Element		Antisense Feature							0
chr1:109990070-109990124	-		13	19	13.43	14	31.5789473684211	0	0	0	0						no Feature		Cdh7	ENSMUSG00000026312	protein_coding	Simple_repeat	intron	Repeat Element		Antisense Feature							0
chr1:110299525-110299563	+		10	10	10	10	0	1	1	1	1						no Feature					LTR		Repeat Element		Antisense Feature							0
chr1:111029070-111029108	-		6	16	8.8	9	62.5	0	0	0	0						no Feature					Simple_repeat		Repeat Element		Antisense Feature							0
chr1:111076891-111076952	-		7	12	8.27	9	41.6666666666667	0	0	0	0				SINE		Repeat Element					LTR,Simple_repeat		Repeat Element		Repeat Element							0
chr1:111820149-111820187	-		6	10	7.67	9	40	0	0	0	0				LINE		Repeat Element							no Feature		Repeat Element							0
chr1:112706474-112706526	+		8	8	8	8	0	0	0	0	0				Simple_repeat		Repeat Element							no Feature		Repeat Element							0
chr1:112991637-112991695	+		7	12	8.1	8	41.6666666666667	0	0	0	0				LINE		Repeat Element							no Feature		Repeat Element							0
chr1:113038653-113038710	-		10	11	10	10	9.09090909090909	0	0	0	0						no Feature					Simple_repeat		Repeat Element		Antisense Feature							0
chr1:113097623-113097673	+		8	47	8.56	8	82.9787234042553	0	0	0	0				Simple_repeat		Repeat Element					SINE		Repeat Element		Repeat Element							0
chr1:113397247-113397289	+		5	5	5	5	0	0	0	0	0				Satellite		Repeat Element							no Feature		Repeat Element							0
chr1:113903985-113904277	-		46	374	91.25	86	87.7005347593583	1	8	1.8	2	9330185C12Rik	ENSMUSG00000097648	lncRNA	LINE		Repeat Element							no Feature		Repeat Element							0
chr1:114222350-114222388	-		6	6	6	6	0	0	0	0	0						no Feature					Simple_repeat		Repeat Element		Antisense Feature							0
chr1:115561504-115561566	+		9	10	9.06	9	10	0	0	0	0				LINE		Repeat Element							no Feature		Repeat Element							0
chr1:115713505-115713552	+		12	13	12.07	12	7.69230769230769	0	0	0	0	Cntnap5a	ENSMUSG00000070695	protein_coding		intron	protein_coding: Intron					LINE		Repeat Element		Antisense Feature							0
chr1:11649773-11649825	-		6	17	8.29	10	64.7058823529412	0	0	0	0						no Feature		A830018L16Rik	ENSMUSG00000057715	protein_coding	Simple_repeat	intron	Repeat Element		Antisense Feature							0
chr1:117329619-117329671	+		5	23	7.5	7	78.2608695652174	0	0	0	0				Simple_repeat		Repeat Element							no Feature		Repeat Element							0
chr1:118340360-118340407	-		29	30	29.5	30	3.33333333333333	1	1	1	1						no Feature					Simple_repeat		Repeat Element		Antisense Feature							0
chr1:118538765-118538807	+		89	89	89	89	0	5	5	5	5	Clasp1	ENSMUSG00000064302	protein_coding		intron	protein_coding: Intron							no Feature		protein_coding: Intron							1
chr1:118679607-118679646	+		56	58	57	56	3.44827586206897	3	3	3	3	Tfcp2l1	ENSMUSG00000026380	protein_coding		exon	protein_coding: exon					SINE		Repeat Element		protein_coding: exon							0
chr1:119449050-119449084	-		11	12	11.03	11	8.33333333333333	0	0	0	0						no Feature					SINE		Repeat Element		Antisense Feature							0
chr1:119455975-119456030	+		8	18	11.7	14	55.5555555555556	0	0	0	0				Simple_repeat		Repeat Element							no Feature		Repeat Element							0
chr1:120273258-120273311	-		5	6	5.25	6	16.6666666666667	0	0	0	0				LTR		Repeat Element					Simple_repeat		Repeat Element		Repeat Element							0
chr1:120868026-120868086	-		10	11	10.05	10	9.09090909090909	0	0	0	0						no Feature					Simple_repeat		Repeat Element		Antisense Feature							0
chr1:12230599-12230642	+		14	33	14.63	15	57.5757575757576	0	0	0	0				Simple_repeat		Repeat Element							no Feature		Repeat Element							1
chr1:122357127-122357156	-		7	8	7.5	8	12.5	0	0	0	0	LSU-rRNA_Hsa		rRNA			ncRNA	rRNA						no Feature	rRNA	ncRNA							0
chr1:122603027-122603086	-		33	36	34.2	33	8.33333333333333	0	0	0	0						no Feature					Simple_repeat		Repeat Element		Antisense Feature							0
chr1:122603041-122603098	+		7	8	7.11	7	12.5	0	0	0	0				Simple_repeat		Repeat Element							no Feature		Repeat Element							0
chr1:123214246-123214290	-		6	11	7.87	7	45.4545454545455	0	0	0	0				LINE		Repeat Element							no Feature		Repeat Element							0
chr1:12374959-12375048	+		8	10	8.35	8	20	0	0	0	0	Gm22633	ENSMUSG00000093864	snRNA	LINE		ncRNA	snRNA						no Feature	snRNA	ncRNA	2	0	2	snRNA	0	chr5:72418715-72418796_snRNA, chr8:105172547-105172600_snRNA	0
chr1:126375322-126375382	-		8	10	8.46	9	20	0	0	0	0	Nckap5	ENSMUSG00000049690	protein_coding	SINE	intron	Repeat Element					Simple_repeat		Repeat Element		Repeat Element							0
chr1:126538223-126538297	-		7	19	10.5	13	63.1578947368421	0	0	0	0	Nckap5	ENSMUSG00000049690	protein_coding	LTR	intron	Repeat Element					LTR		Repeat Element		Repeat Element							0
chr1:12687649-12687705	+		6	6	6	6	0	0	0	0	0						no Feature					SINE,LTR		Repeat Element		Antisense Feature							0
chr1:127132347-127132395	-		7	10	7.59	9	30	0	0	0	0						no Feature					Simple_repeat		Repeat Element		Antisense Feature							0
chr1:12756368-12756404	-		6	9	7.08	7	33.3333333333333	0	0	0	0				SINE		Repeat Element		Sulf1	ENSMUSG00000016918	protein_coding	Low_complexity	intron	Repeat Element		Repeat Element							0
chr1:127891111-127891158	-		7	9	7.5	7	22.2222222222222	0	0	0	0						no Feature		Rab3gap1	ENSMUSG00000036104	protein_coding	Simple_repeat	intron	Repeat Element		Antisense Feature							0
chr1:128321539-128321579	+		11	15	12.64	14	26.6666666666667	1	1	1	1				SINE		Repeat Element		Lct	ENSMUSG00000026354	protein_coding		intron	protein_coding: Intron		Repeat Element							0
chr1:128642763-128642837	-		10	20	12.74	13	50	0	0	0	0				SINE		Repeat Element					Simple_repeat		Repeat Element		Repeat Element							0
chr1:129177158-129177213	-		7	8	7.5	7	12.5	0	0	0	0				SINE		Repeat Element					Simple_repeat		Repeat Element		Repeat Element							0
chr1:129844313-129844346	-		16	17	16.33	16	5.88235294117647	1	1	1	1						no Feature		Thsd7b	ENSMUSG00000042581	protein_coding	Simple_repeat	intron	Repeat Element		Antisense Feature							0
chr1:13022267-13022328	+		5	10	6.33	6	50	0	0	0	0				Simple_repeat		Repeat Element							no Feature		Repeat Element							0
chr1:13032974-13033012	-		8	8	8	8	0	0	0	0	0				SINE		Repeat Element					LINE		Repeat Element		Repeat Element							0
chr1:131573831-131574034	+		8	34	16.75	11	76.4705882352941	0	0	0	0	LSU-rRNA_Hsa		rRNA			ncRNA	rRNA						no Feature	rRNA	ncRNA	17	0	17	rRNA	0	BK000964.3:6272-9246_rRNA, chr2:22744838-22744951_rRNA, chr3:62159058-62159221_rRNA, chr5:146260990-146261359_rRNA	0
chr1:131642505-131642570	+		5	38	5.38	5	86.8421052631579	0	2	0.01	0	Ctse,4.5SRNA	ENSMUSG00000004552	protein_coding,scRNA	LTR	intron	ncRNA	scRNA						no Feature	scRNA	ncRNA	182	15	167	scRNA, Repeat Element	8.24175824175824	chr1:103844668-103844707_scRNA, chr12:119325165-119325243_scRNA, chr13:64559793-64559859_scRNA, chr14:115997637-115997693_scRNA, chr16:27336696-27336762_scRNA, chr16:52058453-52058515_scRNA, chr16:66489899-66489945_scRNA, chr17:12694216-12694258_scRNA, chr17:47060596-47060659_scRNA, chr17:6792729-6792761_scRNA, chr19:17710813-17710852_scRNA, chr2:113672923-113672981_scRNA, chr2:116630192-116630243_Repeat Element, chr2:9262454-9262513_scRNA, chr3:103591469-103591532_scRNA, chr4:35312152-35312215_scRNA, chr5:46107059-46107092_scRNA, chr7:126228197-126228229_scRNA	0
chr1:131786601-131786648	-		5	9	5.29	5	44.4444444444444	0	0	0	0						no Feature					LTR,Simple_repeat		Repeat Element		Antisense Feature							0
chr1:131893146-131893207	-		7	9	8	8	22.2222222222222	0	0	0	0						no Feature					Simple_repeat		Repeat Element		Antisense Feature							0
chr1:131932050-131932089	+		27	27	27	27	0	1	1	1	1	Nucks1	ENSMUSG00000026434	protein_coding		exon	protein_coding: exon							no Feature		protein_coding: exon							1
chr1:132837441-132837498	-		7	7	7	7	0	0	0	0	0						no Feature					Simple_repeat		Repeat Element		Antisense Feature							0
chr1:132962628-132962667	-		5	5	5	5	0	0	0	0	0	Mdm4	ENSMUSG00000054387	protein_coding	LTR	exon	protein_coding: exon					Simple_repeat		Repeat Element		protein_coding: exon							0
chr1:13303239-13303299	+		14	15	14.06	14	6.66666666666667	0	0	0	0				Simple_repeat		Repeat Element		Ncoa2	ENSMUSG00000005886	protein_coding		intron	protein_coding: Intron		Repeat Element							0
chr1:133034319-133034400	-		25	280	68.21	71	91.0714285714286	0	11	1.78	1	tRNA-Lys-AAA		tRNA			ncRNA	tRNA						no Feature	tRNA	ncRNA	558	0	558	tRNA	0	chr11:69125171-69125214_tRNA, chr13:21168070-21168115_tRNA, chr18:41196485-41196531_tRNA, chr19:12006071-12006117_tRNA, chr19:12009690-12009736_tRNA, chr6:100471524-100471571_tRNA	1
chr1:133600982-133601013	-		22	22	22	22	0	1	1	1	1						no Feature					SINE		Repeat Element		Antisense Feature							0
chr1:133647485-133647529	-		50	51	50.5	51	1.96078431372549	1	1	1	1	Gm38394,Zc3h11a	ENSMUSG00000094410,ENSMUSG00000102976,ENSMUSG00000116275	protein_coding		exon	protein_coding: exon							no Feature		protein_coding: exon							1
chr1:134423308-134423356	+		38	38	38	38	0	1	1	1	1	Adipor1	ENSMUSG00000026457	protein_coding		intron	protein_coding: Intron							no Feature		protein_coding: Intron							0
chr1:134645759-134645820	-		10	14	10.01	10	28.5714285714286	0	0	0	0	Gm26783	ENSMUSG00000097435	lncRNA			lncRNA					SINE,Simple_repeat		Repeat Element		Antisense Feature							0
chr1:136258066-136258109	+		5	49	6.21	6	89.7959183673469	0	2	0.01	0						no Feature					SINE		Repeat Element		Antisense Feature							0
chr1:136365060-136365087	+		5	5	5	5	0	0	0	0	0	LSU-rRNA_Hsa		rRNA			ncRNA	rRNA						no Feature	rRNA	ncRNA							0
chr1:136594521-136594565	+		74	74	74	74	0	2	2	2	2						no Feature							no Feature		no Feature							1
chr1:136911668-136911702	-		6	9	6.68	6	33.3333333333333	0	0	0	0	Nr5a2	ENSMUSG00000026398	protein_coding		intron	protein_coding: Intron					Simple_repeat		Repeat Element		Antisense Feature							0
chr1:137240629-137240666	+		7	13	7.86	9	46.1538461538462	0	1	0.09	0						no Feature					SINE		Repeat Element		Antisense Feature							0
chr1:138305413-138305475	-		12	16	13.44	14	25	0	0	0	0				LINE		Repeat Element					Simple_repeat		Repeat Element		Repeat Element							0
chr1:138566497-138566543	-		7	7	7	7	0	0	0	0	0	Nek7	ENSMUSG00000026393	protein_coding	DNA	intron	Repeat Element							no Feature		Repeat Element							0
chr1:138658350-138658396	-		6	10	6	6	40	0	0	0	0	Gm5833	ENSMUSG00000100459	lncRNA			lncRNA					Simple_repeat		Repeat Element		Antisense Feature							0
chr1:138991327-138991363	-		8	9	8.33	9	11.1111111111111	0	0	0	0				SINE		Repeat Element		Dennd1b	ENSMUSG00000056268	protein_coding		intron	protein_coding: Intron		Repeat Element							0
chr1:139923111-139923164	+		5	8	5.87	6	37.5	0	0	0	0				Simple_repeat		Repeat Element		Gm16332	ENSMUSG00000089991	pseudogene			pseudogene		Repeat Element							0
chr1:141250420-141250479	+		6	7	6.17	6	14.2857142857143	0	0	0	0						no Feature					LINE		Repeat Element		Antisense Feature							0
chr1:141314355-141314387	+		17	21	18.23	19	19.047619047619	0	0	0	0	Gm22016,HY1	ENSMUSG00000089418	yRNA			ncRNA	yRNA						no Feature	yRNA	ncRNA	3	0	3	yRNA	0	chr17:76111201-76111304_yRNA, chr18:69777940-69778045_yRNA, chr7:25868944-25869051_yRNA	0
chr1:143206284-143206320	+		6	6	6	6	0	0	0	0	0				Simple_repeat		Repeat Element							no Feature		Repeat Element							0
chr1:143783836-143783888	+		59	59	59	59	0	2	2	2	2	Uchl5	ENSMUSG00000018189	protein_coding		intron	protein_coding: Intron							no Feature		protein_coding: Intron							0
chr1:143962603-143962629	+		6	7	6.5	7	14.2857142857143	0	0	0	0						no Feature					SINE		Repeat Element		Antisense Feature							0
chr1:144223080-144223117	-		19	19	19	19	0	0	0	0	0	Rbm6-ps2	ENSMUSG00000100389	pseudogene			pseudogene							no Feature		pseudogene							1
chr1:145471704-145471754	+		5	9	5.2	5	44.4444444444444	0	0	0	0						no Feature					LINE		Repeat Element		Antisense Feature							0
chr1:146050985-146051044	+		27	36	30.59	31	25	0	0	0	0				Satellite		Repeat Element							no Feature		Repeat Element							0
chr1:148657901-148657966	+		10	38	11.1	11	73.6842105263158	0	1	0.01	0				Simple_repeat		Repeat Element							no Feature		Repeat Element							0
chr1:150081744-150081789	-		5	16	5.36	5	68.75	0	0	0	0	Ptgs2os	ENSMUSG00000097028	lncRNA			lncRNA					Simple_repeat		Repeat Element		Antisense Feature							0
chr1:150841461-150841513	-		9	10	9.33	9	10	0	0	0	0	Hmcn1	ENSMUSG00000066842	protein_coding		intron	protein_coding: Intron					Simple_repeat		Repeat Element		Antisense Feature							0
chr1:151533983-151534038	+		10	14	11.22	11	28.5714285714286	0	0	0	0				SINE,Simple_repeat		Repeat Element							no Feature		Repeat Element							0
chr1:151814599-151814653	-		9	9	9	9	0	0	0	0	0						no Feature		Edem3	ENSMUSG00000043019	protein_coding	Simple_repeat	intron	Repeat Element		Antisense Feature							0
chr1:152099902-152099962	-		6	6	6	6	0	0	0	0	0						no Feature					Simple_repeat		Repeat Element		Antisense Feature							0
chr1:152278521-152278571	-		8	11	8.92	9	27.2727272727273	0	0	0	0						no Feature					LTR,Simple_repeat		Repeat Element		Antisense Feature							0
chr1:152603607-152603669	-		13	19	13.67	14	31.5789473684211	0	0	0	0	Rgl1	ENSMUSG00000026482	protein_coding		intron	protein_coding: Intron					Simple_repeat		Repeat Element		Antisense Feature							0
chr1:152693919-152693967	+		10	12	11	10	16.6666666666667	0	0	0	0				Simple_repeat		Repeat Element		Rgl1	ENSMUSG00000026482	protein_coding		intron	protein_coding: Intron		Repeat Element							0
chr1:152844737-152844779	-		49	49	49	49	0	1	1	1	1	Smg7	ENSMUSG00000042772	protein_coding		intron	protein_coding: Intron					SINE		Repeat Element		Antisense Feature							0
