	CLIP_ID	Transcript	Closest LISI_Dist SameStrand	Upstream LISI_Dist SameStrand	Downstream LISI_Dist SameStrand	Closest repClass SameStrand	Closest repName SameStrand	Closest LISI_Dist OppositeStrand	Upstream LISI_Dist OppositeStrand	Downstream LISI_Dist OppositeStrand	Closest repClass OppositeStrand	Closest repName OppositeStrand	Closest LISI_Dist BothStrand	Upstream LISI_Dist BothStrand	Downstream LISI_Dist BothStrand	Closest repClass BothStrand	Closest repName BothStrand
19	chr1:181987372-181987438	ENSMUST00000111030	-319	-319	1127	SINE	MIRb	93	-511	93	LINE	Lx8	93	-319	93	LINE	Lx8
20	chr1:183321729-183321754	ENSMUST00000109166	-82	-82	2618	SINE	B1_Mus1	54	-5636	54	SINE	B4A	54	-82	54	SINE	B4A
21	chr1:189845447-189845482	ENSMUST00000097442	-6723	-6723	8071	SINE	ID_B1	0	0	0	SINE	RSINE1	0	0	0	SINE	B1_Mus1
22	chr1:191022951-191022996	ENSMUST00000085635	-315	-315	3415	LINE	L2b	0	0	0	SINE	PB1D10	0	0	0	SINE	MIRc
23	chr1:3589006-3589042	ENSMUST00000070533	688	-5279	688	LINE	L1MA4A	0	0	0	LINE	L1_Mus1	0	0	0	SINE	B3
24	chr1:36087357-36087393	ENSMUST00000088174	1522	-2295	1522	SINE	RSINE1	0	0	0	SINE	RSINE1	0	0	0	SINE	ID_B1
25	chr1:37506990-37507021	ENSMUST00000151952	1114	-4270	1114	SINE	B2_Mm2	495	-1185	495	SINE	B3	495	-1185	495	SINE	B3
26	chr1:39943590-39943622	ENSMUST00000192509	6896	-7970	6896	LINE	L3b	2216	-4669	2216	SINE	B1_Mus1	2216	-4669	2216	SINE	B1_Mus1
27	chr1:53165019-53165067	ENSMUST00000072235	5412	-6073	5412	LINE	L1_Mus3	0	0	0	LINE	L1M2	0	0	0	LINE	L1_Mus3
28	chr1:57917175-57917211	ENSMUST00000169772	2490	-7554	2490	LINE	L2a	-2860	-2860	6654	LINE	L2c	2490	-2860	2490	LINE	L2a
29	chr1:58972349-58972385	ENSMUST00000027186	443	NA	443	SINE	MIR3	784	NA	784	SINE	PB1D9	443	NA	443	SINE	MIR3
30	chr1:59570524-59570556	ENSMUST00000114243	540	-2506	540	SINE	MIR3	0	0	0	SINE	B2_Mm2	0	0	0	SINE	B2_Mm2
31	chr1:60522473-60522515	ENSMUST00000140485	561	-2478	561	SINE	PB1D7	82	-647	82	LINE	HAL1	82	-647	82	LINE	HAL1
32	chr1:63292016-63292068	ENSMUST00000029025	0	0	0	LINE	L1ME3B	3092	NA	3092	SINE	B1F	0	0	0	LINE	L1ME3B
33	chr1:66260318-66260358	ENSMUST00000114018	858	-1412	858	SINE	RSINE1	158	-821	158	SINE	PB1D11	158	-821	158	SINE	PB1D11
34	chr1:71620722-71620766	ENSMUST00000055226	-597	-597	1439	SINE	B1_Mus1	3394	-10137	3394	SINE	B1_Mus1	-597	-597	1439	SINE	B1_Mus1
35	chr1:71639484-71639540	ENSMUST00000055226	3974	-4920	3974	SINE	B1_Mm	-3136	-3136	3188	SINE	B1_Mus2	-3136	-3136	3188	SINE	B1_Mus2
36	chr1:74476623-74476670	ENSMUST00000044260	-84	-84	225	SINE	RSINE1	2159	-3278	2159	SINE	B3	-84	-84	225	SINE	RSINE1
37	chr1:80322414-80322472	ENSMUST00000164108	-3739	-3739	9347	LINE	L3	85	-1099	85	LINE	L1MC4	85	-1099	85	LINE	L1MC4
38	chr1:82741581-82741618	ENSMUST00000078332	-666	-666	1581	SINE	PB1D9	6699	-9933	6699	SINE	B4	-666	-666	1581	SINE	PB1D9
39	chr1:84737621-84737667	ENSMUST00000186648	2879	-9791	2879	SINE	RSINE1	-233	-233	1094	SINE	B1_Mus1	-233	-233	1094	SINE	B1_Mus1
40	chr1:8607928-8608022	ENSMUST00000140295	0	0	0	LINE	Lx2	-1889	-1889	2072	LINE	Lx3_Mus	0	0	0	LINE	Lx2
41	chr1:87027051-87027109	ENSMUST00000065694	120	-1017	120	SINE	ID_B1	0	0	0	LINE	L2	0	0	0	LINE	L1Md_F2
42	chr1:87759350-87759391	ENSMUST00000113186	123	-1718	123	SINE	B1_Mur3	2514	NA	2514	SINE	B1_Mus1	123	-1718	123	SINE	B1_Mur3
43	chr1:87779805-87779838	ENSMUST00000113186	691	-1103	691	SINE	RSINE1	425	-8531	425	SINE	PB1D9	425	-1103	425	SINE	PB1D9
44	chr1:89492479-89492571	ENSMUST00000190096	-2143	-2143	3048	SINE	PB1D7	-359	-359	371	SINE	B3	-359	-359	371	SINE	B3
45	chr1:89514666-89514712	ENSMUST00000190096	840	-1130	840	SINE	B3	-866	-866	10252	SINE	PB1D10	840	-866	840	SINE	B3
46	chr1:91085995-91086029	ENSMUST00000097649	1785	-4711	1785	SINE	B3	3578	-6027	3578	SINE	B1_Mur4	1785	-4711	1785	SINE	B3
47	chr1:92057575-92057605	ENSMUST00000097644	-226	-226	18870	SINE	B1_Mus2	-3439	-3439	5871	SINE	RSINE1	-226	-226	5871	SINE	B1_Mus2
48	chr1:93459731-93459767	ENSMUST00000170883	1872	-1971	1872	SINE	B1_Mus1	0	0	0	LINE	L3	0	0	0	LINE	L3
49	chr1:93806803-93806832	ENSMUST00000027505	456	NA	456	SINE	B3	0	0	0	SINE	B3	0	0	0	SINE	B3
50	chr10:100480022-100480080	ENSMUST00000058154	1013	-4176	1013	LINE	L1Md_A	-398	-398	568	LINE	HAL1	-398	-398	568	LINE	HAL1
51	chr10:105782619-105782668	ENSMUST00000046638	-120	-120	894	SINE	RSINE1	-3270	-3270	8519	SINE	RSINE1	-120	-120	894	SINE	RSINE1
52	chr10:110770587-110770638	ENSMUST00000073781	-232	-232	287	LINE	L1M2c	2812	-7552	2812	LINE	L1MEc	-232	-232	287	LINE	L1M2c
53	chr10:11173670-11173727	ENSMUST00000044053	126	-267	126	SINE	B4	-450	-450	1537	SINE	B1_Mus1	126	-267	126	SINE	B4
54	chr10:115341383-115341422	ENSMUST00000092170	-377	-377	NA	SINE	ID4	-2960	-2960	NA	SINE	B2_Mm2	-377	-377	NA	SINE	ID4
55	chr10:116500129-116500161	ENSMUST00000105267	3146	-8743	3146	LINE	L2	10	-2092	10	LINE	Plat_L3	10	-2092	10	LINE	Plat_L3
56	chr10:117124250-117124289	ENSMUST00000020381	0	0	0	SINE	PB1D9	231	-617	231	SINE	B1_Mur2	0	0	0	SINE	B3
57	chr10:117223738-117223793	ENSMUST00000020382	1087	NA	1087	SINE	RSINE1	0	0	0	SINE	ID4_	0	0	0	SINE	B4A
58	chr10:117358726-117358765	ENSMUST00000069168	36	-448	36	LINE	L2a	438	-1167	438	SINE	B3	36	-448	36	LINE	L2a
59	chr10:117709861-117709907	ENSMUST00000020408	1612	NA	1612	SINE	B1_Mus2	2050	NA	2050	LINE	Lx9	1612	NA	1612	SINE	B1_Mus2
60	chr10:121604976-121605027	ENSMUST00000039810	-1368	-1368	2827	SINE	B1_Mur3	-42	-42	1549	SINE	B3	-42	-42	1549	SINE	B3
61	chr10:122921578-122921615	ENSMUST00000067918	215	-347	215	SINE	B1_Mus1	-183	-183	486	SINE	B1F2	-183	-183	215	SINE	B1F2
62	chr10:126885118-126885172	ENSMUST00000026504	-1285	-1285	7902	SINE	ID_B1	0	0	0	SINE	B3	0	0	0	SINE	B3
63	chr10:12813193-12813229	ENSMUST00000076817	-1386	-1386	4590	LINE	L1MB8	297	-671	297	SINE	PB1D10	297	-671	297	SINE	PB1D10
64	chr10:128749424-128749464	ENSMUST00000163377	2561	NA	2561	SINE	PB1D7	209	NA	209	SINE	B1_Mur1	209	NA	209	SINE	B1_Mur1
65	chr10:25471875-25471911	ENSMUST00000053748	-3470	-3470	8860	SINE	PB1D10	-2333	-2333	4633	SINE	B3	-2333	-2333	4633	SINE	B3
66	chr10:28118306-28118340	ENSMUST00000166468	-1059	-1059	7342	SINE	B2_Mm2	-1425	-1425	2057	SINE	B3A	-1059	-1059	2057	SINE	B2_Mm2
67	chr10:28133538-28133567	ENSMUST00000166468	-62	-62	10140	SINE	B4A	2559	-9122	2559	SINE	B1_Mus1	-62	-62	2559	SINE	B4A
68	chr10:40237758-40237784	ENSMUST00000183309	-1580	-1580	3112	SINE	B2_Mm1t	0	0	0	SINE	B1_Mus2	0	0	0	SINE	B1_Mus2
69	chr10:4053005-4053064	ENSMUST00000117291	0	0	0	SINE	B4	2318	-4356	2318	SINE	B1_Mur1	0	0	0	SINE	B4
70	chr10:42273405-42273441	ENSMUST00000105502	1115	NA	1115	SINE	B1_Mur2	84	NA	84	SINE	RSINE1	84	NA	84	SINE	RSINE1
71	chr10:50650732-50650778	ENSMUST00000035606	2159	-3441	2159	SINE	B1_Mus1	633	-1758	633	SINE	B1_Mus2	633	-1758	633	SINE	B1_Mus2
72	chr10:53367953-53368004	ENSMUST00000095691	3748	-7478	3748	SINE	ID_B1	-147	-147	1925	SINE	B1_Mus1	-147	-147	1925	SINE	B1_Mus1
73	chr10:53586962-53586985	ENSMUST00000075540	-3910	-3910	4650	SINE	B3	0	0	0	LINE	L1_Mur3	0	0	0	LINE	L1_Mur3
74	chr10:53610110-53610170	ENSMUST00000075540	417	-2968	417	SINE	B1_Mur2	67	-5270	67	SINE	RSINE1	67	-2968	67	SINE	RSINE1
75	chr10:54064579-54064635	ENSMUST00000003843	0	0	0	LINE	L1MA9	-1222	-1222	5776	SINE	B2_Mm2	0	0	0	LINE	L1MA9
76	chr10:58325259-58325299	ENSMUST00000020078	3832	NA	3832	LINE	L1MDa	0	0	0	LINE	L1MB3	0	0	0	LINE	L1MB3
77	chr10:58459050-58459086	ENSMUST00000003310	-2177	-2177	4450	SINE	B1_Mur4	0	0	0	SINE	B3	0	0	0	SINE	B3
78	chr10:58461698-58461739	ENSMUST00000003310	1802	-4825	1802	SINE	B1_Mus2	539	-875	539	SINE	B1_Mus1	539	-875	539	SINE	B1_Mus1
79	chr10:60445831-60445890	ENSMUST00000105464	0	0	0	SINE	PB1D10	2173	-3498	2173	SINE	B3A	0	0	0	SINE	PB1D10
80	chr10:61222652-61222715	ENSMUST00000092486	-568	-568	1619	SINE	B1_Mm	0	0	0	SINE	B2_Mm2	0	0	0	SINE	B2_Mm2
81	chr10:62505804-62505866	ENSMUST00000160987	0	0	0	SINE	PB1D10	360	-1064	360	SINE	B2_Mm2	0	0	0	SINE	B1_Mus1
82	chr10:62926282-62926334	ENSMUST00000044977	-470	-470	2807	SINE	PB1D10	0	0	0	SINE	ID_B1	0	0	0	SINE	ID_B1
83	chr10:67907503-67907538	ENSMUST00000064656	160	-2795	160	SINE	ID_B1	3205	NA	3205	SINE	B4	160	-2795	160	SINE	ID_B1
84	chr10:70138789-70138822	ENSMUST00000147545	1093	-1345	1093	SINE	RSINE1	940	-1287	940	SINE	B1F	940	-1287	940	SINE	B1F
85	chr10:77344138-77344188	ENSMUST00000020496	-341	-341	11724	LINE	L1Md_F2	13	-123	13	SINE	B2_Mm1a	13	-123	13	SINE	B2_Mm1a
86	chr10:84667505-84667560	ENSMUST00000077175	3399	-4610	3399	LINE	Lx3_Mus	-670	-670	1209	SINE	B1_Mur3	-670	-670	1209	SINE	B1_Mur3
87	chr10:99018220-99018256	ENSMUST00000020107	-133	-133	6858	SINE	MIRb	2671	-4220	2671	LINE	L1Md_T	-133	-133	2671	SINE	MIRb
88	chr11:100504854-100504876	ENSMUST00000107389	178	-651	178	SINE	MIRb	-1462	-1462	2494	SINE	ID_B1	178	-651	178	SINE	MIRb
89	chr11:100518689-100518750	ENSMUST00000107389	-1798	-1798	7999	SINE	RSINE1	0	0	0	SINE	ID2	0	0	0	SINE	ID2
90	chr11:100613325-100613382	ENSMUST00000014339	-1440	-1440	3362	SINE	B2_Mm2	-288	-288	701	SINE	B2_Mm2	-288	-288	701	SINE	B2_Mm2
91	chr11:100926206-100926242	ENSMUST00000127638	709	-2217	709	SINE	B1_Mur3	0	0	0	SINE	RSINE1	0	0	0	SINE	B1_Mur3
92	chr11:102498192-102498236	ENSMUST00000143842	-169	-169	2710	SINE	PB1D10	-1663	-1663	4287	SINE	B1F2	-169	-169	2710	SINE	PB1D10
93	chr11:103606805-103606850	ENSMUST00000059279	391	-502	391	SINE	PB1D9	200	-880	200	SINE	B1_Mus1	200	-502	200	SINE	B1_Mus1
94	chr11:103947976-103948015	ENSMUST00000103075	0	0	0	SINE	B1_Mus1	-82	-82	237	LINE	Lx7	0	0	0	SINE	B1_Mus1
95	chr11:105320003-105320047	ENSMUST00000100335	0	0	0	SINE	B1_Mur4	-1275	-1275	1320	SINE	B1_Mus2	0	0	0	SINE	MIRb
96	chr11:106066807-106066843	ENSMUST00000002048	68	NA	68	SINE	B1_Mus2	1656	NA	1656	SINE	PB1D7	68	NA	68	SINE	B1_Mus2
97	chr11:106123115-106123177	ENSMUST00000002044	-1319	-1319	1505	SINE	ID2	215	-473	215	SINE	B3	215	-473	215	SINE	B3
98	chr11:106245592-106245653	ENSMUST00000021046	-426	-426	1323	SINE	ID_B1	209	-1321	209	SINE	B1_Mus1	209	-426	209	SINE	B1_Mus1
99	chr11:106993923-106993985	ENSMUST00000018506	423	-1683	423	SINE	B4	0	0	0	SINE	B3	0	0	0	SINE	B1_Mur2
100	chr11:109607716-109607757	ENSMUST00000103060	-65	-65	328	SINE	ID_B1	0	0	0	SINE	PB1D9	0	0	0	SINE	ID_B1
101	chr11:115506220-115506261	ENSMUST00000021083	698	-813	698	SINE	B1_Mur4	0	0	0	SINE	B1_Mur4	0	0	0	SINE	B1_Mur4
102	chr11:115916957-115917009	ENSMUST00000021097	-1513	-1513	3795	SINE	B1_Mur4	477	-490	477	SINE	PB1D10	477	-490	477	SINE	PB1D10
103	chr11:116485180-116485233	ENSMUST00000106391	0	0	0	SINE	ID4_	-1081	-1081	1917	SINE	B2_Mm2	0	0	0	SINE	ID4_
104	chr11:119219179-119219219	ENSMUST00000036113	-183	-183	7679	SINE	B4	525	-1176	525	SINE	B1_Mm	-183	-183	525	SINE	B4
105	chr11:120889395-120889448	ENSMUST00000056781	963	-1278	963	SINE	RSINE1	-2177	-2177	5691	SINE	RSINE1	963	-1278	963	SINE	RSINE1
106	chr11:121460815-121460878	ENSMUST00000103013	-1480	-1480	4032	SINE	B2_Mm2	81	-899	81	SINE	B1F	81	-899	81	SINE	B1F
107	chr11:12303122-12303172	ENSMUST00000109650	-2561	-2561	4243	SINE	B3	-381	-381	3705	LINE	L1Md_F3	-381	-381	3705	LINE	L1Md_F3
108	chr11:16260421-16260478	ENSMUST00000109645	3917	NA	3917	SINE	ID4	8819	NA	8819	LINE	L1Md_F2	3917	NA	3917	SINE	ID4
109	chr11:19973580-19973618	ENSMUST00000093298	1102	-4318	1102	SINE	B2_Mm2	341	-1430	341	SINE	B1_Mus1	341	-1430	341	SINE	B1_Mus1
110	chr11:23279258-23279303	ENSMUST00000102870	55	-3711	55	SINE	B1_Mus2	0	0	0	SINE	B3	0	0	0	SINE	B3
111	chr11:23357456-23357492	ENSMUST00000180046	-1841	-1841	2607	SINE	B3A	0	0	0	SINE	B3	0	0	0	SINE	B3
112	chr11:26174377-26174428	ENSMUST00000109511	-3146	-3146	12449	SINE	B1_Mm	0	0	0	SINE	B4A	0	0	0	SINE	B4A
113	chr11:26444002-26444033	ENSMUST00000109509	-749	-749	2431	SINE	B4	0	0	0	LINE	L1MC4	0	0	0	LINE	L1MC4
114	chr11:29382948-29382981	ENSMUST00000040182	-2967	-2967	3396	LINE	L1MC	72	-136	72	SINE	B1F1	72	-136	72	SINE	B1F1
115	chr11:32207887-32207936	ENSMUST00000039601	-1712	-1712	NA	SINE	B1_Mur1	NA	NA	NA	NA	NA	-1712	-1712	NA	SINE	B1_Mur1
116	chr11:32217722-32217777	ENSMUST00000020524	-1520	-1520	5390	SINE	ID_B1	193	-1756	193	SINE	B1_Mur1	193	-1520	193	SINE	B1_Mur1
117	chr11:32497867-32497904	ENSMUST00000051053	1011	-1520	1011	SINE	PB1D7	0	0	0	SINE	B1_Mm	0	0	0	SINE	PB1D10
118	chr11:3296792-3296838	ENSMUST00000110043	0	0	0	SINE	B1_Mur2	4723	NA	4723	SINE	B3A	0	0	0	SINE	B1_Mur2
119	chr11:33153685-33153719	ENSMUST00000075641	-5139	-5139	NA	SINE	B1_Mus1	-481	-481	NA	SINE	B1_Mm	-481	-481	NA	SINE	B1_Mm
120	chr11:35783004-35783044	ENSMUST00000018990	-321	-321	3773	SINE	B4A	-73	-73	112	SINE	B3	-73	-73	112	SINE	B3
121	chr11:43423030-43423092	ENSMUST00000020687	433	-1091	433	SINE	B1_Mur3	-61	-61	1549	SINE	RSINE1	-61	-61	433	SINE	RSINE1
122	chr11:4537992-4538064	ENSMUST00000109943	185	-1700	185	SINE	B1F	-746	-746	784	LINE	Lx8	185	-746	185	SINE	B1F
123	chr11:4923314-4923357	ENSMUST00000038237	419	-438	419	SINE	B4	0	0	0	SINE	B1F1	0	0	0	SINE	B1F1
124	chr11:5040692-5040729	ENSMUST00000009234	-4387	-4387	NA	SINE	RSINE1	-4748	-4748	NA	SINE	PB1D7	-4387	-4387	NA	SINE	RSINE1
125	chr11:51268774-51268818	ENSMUST00000093132	-1152	-1152	6229	SINE	ID4	0	0	0	SINE	B1F2	0	0	0	SINE	B1F2
126	chr11:54495349-54495408	ENSMUST00000046835	864	-3385	864	SINE	B1F	-1284	-1284	1496	LINE	L2	864	-1284	864	SINE	B1F
127	chr11:54575048-54575112	ENSMUST00000102743	390	-755	390	SINE	B3	-182	-182	638	LINE	L1MA4	-182	-182	390	LINE	L1MA4
128	chr11:57523680-57523730	ENSMUST00000108849	95	-3487	95	SINE	B1_Mus1	830	-1718	830	SINE	MIR	95	-1718	95	SINE	B1_Mus1
129	chr11:60177503-60177542	ENSMUST00000064190	4320	-11641	4320	SINE	ID2	1642	-4046	1642	SINE	RSINE1	1642	-4046	1642	SINE	RSINE1
130	chr11:60758526-60758569	ENSMUST00000002891	251	-1449	251	SINE	RSINE1	0	0	0	SINE	PB1D10	0	0	0	SINE	PB1D10
131	chr11:60768978-60769023	ENSMUST00000002891	-271	-271	781	SINE	B1_Mus2	0	0	0	SINE	PB1D10	0	0	0	SINE	PB1D10
132	chr11:61157442-61157479	ENSMUST00000041683	-307	-307	NA	SINE	ID4	-43	-43	NA	SINE	B3	-43	-43	NA	SINE	B3
133	chr11:62358786-62358824	ENSMUST00000018645	2500	-5121	2500	SINE	B1_Mur3	524	-1785	524	LINE	L1M4	524	-1785	524	LINE	L1M4
134	chr11:65162058-65162102	ENSMUST00000047463	1505	NA	1505	LINE	L2b	4184	NA	4184	SINE	B1_Mur4	1505	NA	1505	LINE	L2b
135	chr11:66393426-66393490	ENSMUST00000066679	0	0	0	LINE	Lx2	503	-1429	503	LINE	L1ME3	0	0	0	LINE	L1Md_T
136	chr11:66437433-66437496	ENSMUST00000066679	0	0	0	LINE	Lx2	19	-129	19	LINE	Lx9	0	0	0	LINE	L1Md_T
137	chr11:69658203-69658243	ENSMUST00000018905	-1550	-1550	NA	SINE	B1_Mm	0	0	0	SINE	RSINE1	0	0	0	SINE	RSINE1
138	chr11:69750352-69750415	ENSMUST00000058470	97	-695	97	SINE	ID_B1	0	0	0	SINE	B1F2	0	0	0	SINE	B1F2
139	chr11:74520388-74520448	ENSMUST00000102521	0	0	0	SINE	MIRb	1363	-5815	1363	SINE	RSINE1	0	0	0	SINE	B2_Mm2
140	chr11:74789516-74789554	ENSMUST00000010698	-488	-488	773	SINE	ID4	103	-1458	103	SINE	B3	103	-488	103	SINE	B3
141	chr11:75741858-75741916	ENSMUST00000067664	61	-424	61	SINE	B1_Mus2	713	-1003	713	SINE	B2_Mm1a	61	-424	61	SINE	B1_Mus2
142	chr11:76564654-76564711	ENSMUST00000072740	434	NA	434	SINE	ID_B1	239	-1204	239	SINE	RSINE1	239	-1204	239	SINE	RSINE1
143	chr11:77721874-77721911	ENSMUST00000078623	0	0	0	SINE	B4	-258	-258	420	SINE	B1_Mus1	0	0	0	SINE	B2_Mm2
144	chr11:77997585-77997628	ENSMUST00000049167	-649	-649	1257	SINE	B2_Mm2	-340	-340	2874	SINE	B1_Mm	-340	-340	1257	SINE	B1_Mm
145	chr11:78281744-78281789	ENSMUST00000010421	-686	-686	895	SINE	ID4	-8	-8	132	SINE	B3	-8	-8	132	SINE	B3
146	chr11:80365164-80365206	ENSMUST00000103225	0	0	0	LINE	Lx2B2	-167	-167	678	SINE	B1_Mur3	0	0	0	LINE	Lx2B2
147	chr11:84186383-84186430	ENSMUST00000103201	-1681	-1681	3115	SINE	B1_Mur4	125	-611	125	SINE	B1F	125	-611	125	SINE	B1F
148	chr11:86535367-86535412	ENSMUST00000154617	535	-4780	535	SINE	B1F	-586	-586	819	LINE	L1M4	535	-586	535	SINE	B1F
149	chr11:87110180-87110220	ENSMUST00000020794	3303	NA	3303	SINE	B3A	1904	NA	1904	SINE	B2_Mm2	1904	NA	1904	SINE	B2_Mm2
150	chr11:88706559-88706602	ENSMUST00000092794	-1538	-1538	2217	SINE	MIRc	-1211	-1211	4505	SINE	ID_B1	-1211	-1211	2217	SINE	ID_B1
151	chr11:88711788-88711823	ENSMUST00000092794	1228	NA	1228	SINE	MIR	-1291	-1291	3762	SINE	B1F	1228	-1291	1228	SINE	MIR
152	chr11:95055406-95055453	ENSMUST00000001548	-310	-310	4105	SINE	MIRb	9	-603	9	SINE	B2_Mm1a	9	-310	9	SINE	B2_Mm1a
153	chr11:95675869-95675918	ENSMUST00000125172	1033	-1989	1033	SINE	PB1D7	1244	-6058	1244	SINE	B3	1033	-1989	1033	SINE	PB1D7
154	chr11:97045861-97045905	ENSMUST00000001485	0	0	0	SINE	ID_B1	348	-462	348	SINE	RSINE1	0	0	0	SINE	B2_Mm2
155	chr11:97253047-97253106	ENSMUST00000001480	-807	-807	808	SINE	B4	0	0	0	SINE	B2_Mm2	0	0	0	SINE	B1_Mur2
156	chr11:98167959-98168003	ENSMUST00000107545	2768	-6602	2768	SINE	PB1D9	-18	-18	190	SINE	B3	-18	-18	190	SINE	B3
157	chr11:98822201-98822267	ENSMUST00000169695	-39	-39	1674	SINE	PB1D9	-892	-892	2048	SINE	ID_B1	-39	-39	1674	SINE	PB1D9
158	chr11:99012890-99012950	ENSMUST00000068031	-592	-592	1216	SINE	B2_Mm2	63	-69	63	SINE	B4A	63	-69	63	SINE	B4A
159	chr12:100133821-100133859	ENSMUST00000021596	6455	-6631	6455	SINE	B1_Mus2	0	0	0	SINE	PB1D11	0	0	0	SINE	PB1D11
160	chr12:100154714-100154753	ENSMUST00000021596	942	-1202	942	SINE	MIRb	0	0	0	SINE	PB1D11	0	0	0	SINE	PB1D11
161	chr12:101080814-101080848	ENSMUST00000048305	205	-444	205	SINE	B1_Mus1	0	0	0	SINE	RSINE1	0	0	0	SINE	ID4
162	chr12:105835764-105835801	ENSMUST00000109901	-3239	-3239	NA	SINE	B4A	-5108	-5108	NA	SINE	B1F2	-3239	-3239	NA	SINE	B4A
163	chr12:108799261-108799283	ENSMUST00000021692	233	NA	233	SINE	B3	0	0	0	SINE	B1_Mus2	0	0	0	SINE	B1_Mus2
164	chr12:111251317-111251370	ENSMUST00000021706	2199	-4159	2199	SINE	B1_Mus2	-2002	-2002	2747	SINE	B2_Mm2	-2002	-2002	2199	SINE	B2_Mm2
165	chr12:112823280-112823329	ENSMUST00000062092	-256	-256	791	SINE	B3	538	-599	538	LINE	L1MD	-256	-256	538	SINE	B3
166	chr12:113123670-113123728	ENSMUST00000109726	1667	-12832	1667	SINE	B1_Mus2	0	0	0	SINE	B1_Mus1	0	0	0	SINE	B1_Mus1
167	chr12:11314000-11314023	ENSMUST00000020931	-1252	-1252	4732	SINE	B1F	-56	-56	260	LINE	Lx5c	-56	-56	260	LINE	Lx5c
168	chr12:21295652-21295696	ENSMUST00000067284	-47	-47	3015	SINE	RSINE1	167	-1612	167	SINE	RSINE1	-47	-47	167	SINE	RSINE1
169	chr12:31698286-31698338	ENSMUST00000036862	910	-1354	910	LINE	Lx3C	0	0	0	LINE	Lx6	0	0	0	LINE	Lx6
170	chr12:3442013-3442051	ENSMUST00000153102	-886	-886	966	SINE	ID_B1	39	-266	39	SINE	B1_Mus2	39	-266	39	SINE	B1_Mus2
171	chr12:3493964-3494030	ENSMUST00000153102	17	-2881	17	SINE	B1_Mm	-566	-566	578	LINE	L1_Mus1	17	-566	17	SINE	B1_Mm
